Timestamp,B001 B1 V Power,B040A B40A V Power,B007 B7 V Power,B142 B142 V Power,B026 B26 V Power,B138 B138 V Power,B126 B126 V Power,B001A B1A V Power,B005 B5 V Power,B075G B75G V Power,B110 B110 V Power,B001B B1B V Power,B072 B72 V Power,Test Building Test Building V Power,B053 B53 V Power,B090 B90 V Power,B131 B131 V Power,B049C B49C V Power,B069 B69 V Power,B068 B68 V Power,B099 B99 V Power,B020 B20 V Power,B088 B88 V Power,B095 B95 V Power,B073 B73 V Power,B064 B64 V Power,B133 B133 V Power,B127 B127 V Power,B075TB B75T2 V Power,B088TH B88TH V Power,B046J B46J V Power,B046F B46F V Power,B013 B13 V Power,B064A B64A V Power,B018 B18 V Power,B018 B18 V Power,B067B B67B V Power,B026C B26C V Power,B047 B47 V Power,B078 B78 V Power,B030 B30 V Power,B052 B52 V Power,B120 B120 V Power,B128 B128 V Power,B050T B50T1T2 V Power,B075TA B75T1 V Power,B075 B75 V Power,B077 B77 V Power,B044 B44 V Power,B029 B29 V Power,B106 B106 V Power,B143 B143 V Power,B003L B3L V Power,B130 B130 V Power,B118 B118 V Power,B046H B46H V Power,B122 B122 V Power,B141 B141 V Power,B012 B12 V Power,B035A B35A V Power,B065 B65 V Power,B048 B48 V Power,B014 B14 V Power,B040 B40 V Power,B077A B77A V Power,B019A B19A V Power,B108 B108 V Power,B038  B38B39 V Power,B089 B89 V Power,B075E B75E V Power,B067C B67C V Power,B066 B66 V Power,B124 B124 V Power,B049A B49A V Power,B013T B13T1 V Power,B016 B16 V Power,B046C B46C V Power,B071T B71T V Power,B009 B9 V Power,B037 B37 V Power,B042 B42 V Power,B046N B46N V Power,B117 B117 V Power,B026A B26A V Power,B035 B35 V Power,B024 B24 V Power,B1A B1A V Power,B046S B46S V Power,B046 B46 V Power,B064B B64B V Power,B079A B79A V Power,B067A B67A V Power,B080 B80 V Power,B081 B81 V Power,B093 B93 V Power,B115 B115 V Power,B076 B76 V Power,B075A B75A V Power,B063 B63 V Power,B132A B132A V Power,B013B B13B V Power,B113 B113 V Power,B082 B82 V Power,B061 B61 V Power,B010 B10 V Power,B017 B17 V Power,B116 B116 V Power,B025A B25A V Power,B105D B105D V Power,B046R B46R V Power,B032 B32 V Power,B027 B27 V Power,B132 B132 V Power,B042A B42A V Power,B054 B54 V Power,B050 B50 V Power,B056 B56 V Power,B188 B188 V Power,B135 B135 V Power,B006 B6 V Power,B045A B45A V Power,B067 B67 V Power,B137 B137 V Power,B071 B71 V Power,B059 B59 V Power,B022 B22 V Power,B008 B8 V Power,B043 B43 V Power,B049 B49 V Power,B028 B28 V Power,B046Q B46Q V Power,B002 B2 V Power,B056A B56A V Power,Acton Campus_Metering V V Power,Acton Campus_Metering V Power,B015 B15 V Power,B019 B19 V Power,Test Test V Power,B070 B70 V Power,B075F B75F V Power,B010T B10T1 V Power,B058 B58 V Power,B031 B31 V Power,B045 B45 V Power,B063T B63T1 V Power,B109 B109 V Power,B062 B62 V Power,B136 B136 V Power,B101 B101 V Power,B134 B134 V Power,B075D B75D V Power,B051 B51 V Power,B003H B3H V Power
2016-02-07T21:00:00+11:00 Sydney,10kW,24kW,24kW,,146kW,121kW,13kW,11kW,0kW,0kW,13kW,1kW,1kW,,2kW,0kW,253kW,2kW,2kW,1kW,27kW,118kW,0kW,46kW,22kW,,40kW,7kW,0kW,0kW,,,13kW,1kW,5kW,5kW,1kW,33kW,,12kW,54kW,98kW,21kW,0kW,46kW,0kW,,1kW,65kW,2kW,29kW,2385.966293334961kW,,123kW,0kW,0kW,15kW,5kW,0kW,0kW,1kW,22kW,29kW,32kW,0kW,2kW,93kW,79kW,0.05935642495751381kW,0kW,1kW,0kW,48kW,,,16kW,0kW,0kW,105kW,8kW,0kW,,361kW,15kW,75kW,36kW,,,438kW,8kW,,0kW,1kW,0kW,1kW,55kW,8kW,0kW,4kW,51kW,0kW,,0kW,371kW,34kW,36kW,71kW,26kW,0kW,,0kW,14kW,,17kW,,0kW,365kW,,467.1021041870117kW,1kW,,0kW,303kW,5kW,16kW,20kW,10kW,32kW,144kW,0kW,,33kW,2kW,7697.804265999515kW,9336.704551696777kW,111kW,8kW,,1kW,0kW,3kW,665.0878787878787kW,,,0kW,19kW,10kW,95kW,3kW,371kW,0kW,58kW,0kW
2016-02-07T21:10:00+11:00 Sydney,11kW,24kW,24kW,,146kW,119kW,11kW,12kW,0kW,0kW,15kW,1kW,3kW,,2kW,0kW,244kW,2kW,2kW,1kW,18kW,112kW,0kW,48kW,22kW,,40kW,7kW,0kW,0kW,,,13kW,1kW,5kW,5kW,1kW,33kW,,13kW,54kW,98kW,21kW,0kW,46kW,0kW,,1kW,65kW,2kW,29kW,2385.966293334961kW,,123kW,0kW,0kW,15kW,5kW,0kW,0kW,1kW,23kW,29kW,35kW,0kW,2kW,93kW,79kW,0.06245275214314461kW,0kW,1kW,0kW,48kW,,,18kW,0kW,0kW,107kW,8kW,0kW,,347kW,15kW,103kW,36kW,,,438kW,8kW,,0kW,1kW,0kW,1kW,55kW,8kW,0kW,8kW,51kW,0kW,,0kW,371kW,35kW,36kW,46kW,26kW,0kW,,0kW,15kW,,17kW,,0kW,365kW,,552.1617984771729kW,2kW,,0kW,263kW,2kW,20kW,23kW,10kW,34kW,146kW,0kW,,30kW,3kW,7772.803115315247kW,9113.964950561523kW,112kW,11kW,,1kW,0kW,4kW,694kW,,,0kW,19kW,10kW,95kW,3kW,374kW,0kW,58kW,0kW
2016-02-07T21:20:00+11:00 Sydney,10kW,21kW,22kW,,115kW,124kW,10kW,12kW,0kW,0kW,15kW,1kW,3kW,,2kW,0kW,252kW,0kW,2kW,1kW,18kW,102kW,0kW,48kW,22kW,,40kW,4kW,0kW,0kW,,,14kW,1kW,4kW,4kW,1kW,33kW,,14kW,44kW,98kW,21kW,0kW,44kW,0kW,,1kW,65kW,2kW,21kW,2425.2749938964844kW,,29kW,0kW,0kW,16kW,6kW,0kW,0kW,1kW,23kW,29kW,35kW,0kW,2kW,93kW,73kW,0.06245275214314461kW,0kW,1kW,0kW,46kW,,,18kW,0kW,0kW,82kW,8kW,0kW,,347kW,18kW,103kW,38kW,,,441kW,8kW,,0kW,1kW,0kW,1kW,55kW,8kW,0kW,8kW,48kW,0kW,,0kW,344kW,34kW,34kW,58kW,19kW,0kW,,0kW,15kW,,4kW,,0kW,365kW,,550.5945205688477kW,2kW,,0kW,258kW,1kW,21kW,23kW,10kW,38kW,146kW,0kW,,34kW,3kW,7591.46138986159kW,9032.607444763184kW,113kW,9kW,,1kW,0kW,3kW,651kW,,,0kW,19kW,10kW,81kW,3kW,363kW,0kW,55kW,0kW
2016-02-07T21:30:00+11:00 Sydney,10kW,24kW,22kW,,117kW,120kW,13kW,12kW,0kW,0kW,14kW,1kW,1kW,,2kW,0kW,252kW,0kW,2kW,1kW,17kW,102kW,0kW,38kW,18kW,,28kW,7kW,0kW,0kW,,,14kW,1kW,4kW,4kW,1kW,33kW,,12kW,46kW,111kW,21kW,0kW,43kW,0kW,,1kW,50kW,2kW,19kW,2454.642593383789kW,,43kW,0kW,0kW,15kW,5kW,0kW,0kW,1kW,24kW,28kW,34kW,2kW,5kW,90kW,70kW,0.05521003156900406kW,0kW,1kW,0kW,48kW,,,18kW,0kW,0kW,82kW,8kW,0kW,,321kW,18kW,102kW,38kW,,,441kW,8kW,,0kW,1kW,0kW,1kW,55kW,8kW,0kW,4kW,78kW,0kW,,0kW,352kW,34kW,34kW,58kW,18kW,0kW,,0kW,15kW,,16kW,,0kW,371kW,,553.5945205688477kW,1kW,,0kW,243kW,5kW,21kW,20kW,10kW,37kW,146.00968785885792kW,0kW,,30kW,3kW,7579.209634198354kW,9225.77865600586kW,113kW,9kW,,1kW,0kW,3kW,643kW,,,0kW,18kW,10kW,78kW,3kW,363kW,0kW,55kW,0kW
2016-02-07T21:40:00+11:00 Sydney,10kW,24kW,24kW,,142kW,124kW,13kW,12kW,0kW,0kW,14kW,1kW,1kW,,2kW,0kW,258kW,4kW,2kW,1kW,17kW,94kW,0kW,38kW,19kW,,40kW,7kW,0kW,0kW,,,13kW,1kW,4kW,4kW,1kW,34kW,,13kW,46kW,112kW,21kW,0kW,43kW,0kW,,1kW,51kW,2kW,19kW,2454.642593383789kW,,66kW,0kW,0kW,15kW,7kW,0kW,0kW,1kW,24kW,29kW,28kW,2kW,6kW,138kW,71kW,0.057169150561094284kW,0kW,1kW,0kW,48kW,,,17kW,0kW,0kW,79kW,8kW,0kW,,321kW,18kW,84kW,33kW,,,422kW,8kW,,0kW,1kW,0kW,1kW,55kW,8kW,0kW,8kW,78kW,0kW,,0kW,378kW,34kW,33kW,48kW,18kW,0kW,,0kW,15kW,,3kW,,0kW,372kW,,585.9421806335449kW,1kW,,0kW,296kW,5kW,27kW,19kW,10kW,37kW,133kW,0kW,,33kW,2kW,7689.297182810292kW,9069.019931793213kW,113kW,9kW,,3kW,0kW,3kW,644kW,,,0kW,18kW,10kW,78kW,3kW,361kW,0kW,46kW,0kW
2016-02-07T21:50:00+11:00 Sydney,10kW,19kW,24kW,,137kW,124kW,11kW,11kW,0kW,0kW,13kW,1kW,1kW,,2kW,0kW,262kW,1kW,2kW,1kW,17kW,101kW,0kW,41kW,19kW,,40kW,3kW,0kW,0kW,,,14kW,1kW,4kW,4kW,1kW,38kW,,11kW,43kW,114kW,22kW,0kW,43kW,0kW,,1kW,51kW,2kW,24kW,2448.9990997314453kW,,66kW,0kW,0kW,15kW,7kW,0kW,0kW,1kW,21kW,28kW,32kW,1kW,6kW,137kW,75kW,0.057169150561094284kW,0kW,1kW,0kW,48kW,,,16kW,0kW,0kW,75kW,8kW,0kW,,321kW,15kW,95kW,32kW,,,406kW,8kW,,0kW,1kW,0kW,1kW,55kW,8kW,0kW,4kW,78kW,0kW,,0kW,334kW,31kW,35kW,45kW,18kW,0kW,,0kW,15kW,,17kW,,0kW,351kW,,506.3302001953125kW,2kW,,0kW,296kW,5kW,22kW,20kW,10kW,33kW,129kW,0kW,,33kW,3kW,7615.864677920486kW,8859.967472076416kW,113kW,9kW,,3kW,0kW,3kW,582kW,,,0kW,18kW,10kW,77kW,3kW,371kW,0kW,52kW,0kW
2016-02-07T22:00:00+11:00 Sydney,10kW,19kW,24kW,,125kW,120kW,11kW,11kW,0kW,0kW,14kW,1kW,1kW,,2kW,0kW,244kW,1kW,3kW,1kW,18kW,104kW,0kW,41kW,19kW,,40kW,7kW,0kW,0kW,,,14kW,1kW,13kW,13kW,1kW,38kW,,10kW,43kW,114kW,22kW,0kW,46kW,0kW,,1kW,76kW,2kW,30kW,2467.939895629883kW,,27kW,0kW,0kW,15kW,6kW,0kW,0kW,1kW,21kW,32kW,34kW,1kW,2kW,137kW,75kW,0.056963782757520676kW,0kW,1kW,0kW,54kW,,,18kW,0kW,0kW,72kW,8kW,0kW,,321kW,15kW,95kW,32kW,,,406kW,14kW,,0kW,3kW,0kW,1kW,55kW,8kW,0kW,4kW,47kW,0kW,,0kW,340kW,36kW,35kW,60kW,18kW,0kW,,0kW,15kW,,17kW,,0kW,364kW,,509.3302001953125kW,2kW,,0kW,261kW,1kW,18kW,20kW,10kW,31kW,133kW,0kW,,29kW,3kW,7464.143004742657kW,9009.65459060669kW,121kW,8kW,,1kW,0kW,3kW,591kW,,,0kW,18kW,10kW,83kW,3kW,355kW,0kW,52kW,0kW
2016-02-07T22:10:00+11:00 Sydney,10kW,21kW,23kW,,114kW,123kW,9kW,11kW,0kW,0kW,15kW,1kW,1kW,,2kW,0kW,247kW,0kW,3kW,1kW,18kW,104kW,0kW,37kW,16kW,,42kW,3kW,0kW,0kW,,,13kW,1kW,13kW,13kW,1kW,33kW,,8kW,52kW,110kW,21kW,0kW,46kW,0kW,,1kW,75kW,2kW,30kW,2467.939895629883kW,,41kW,0kW,0kW,15kW,6kW,0kW,0kW,1kW,24kW,32kW,34kW,1kW,2kW,129kW,74kW,0.061973705887794495kW,0kW,1kW,0kW,48kW,,,18kW,0kW,0kW,73kW,8kW,0kW,,323kW,15kW,84kW,28kW,,,388kW,14kW,,0kW,1kW,0kW,1kW,55kW,8kW,0kW,4kW,47kW,0kW,,0kW,345kW,38kW,29kW,59kW,19kW,0kW,,0kW,15kW,,4kW,,0kW,365kW,,473.0543022155762kW,1kW,,0kW,293kW,1kW,18kW,19kW,8kW,31kW,133kW,0kW,,41kW,3kW,7465.355174854025kW,9067.561542510986kW,121kW,8kW,,1kW,0kW,4kW,616kW,,,0kW,18kW,9kW,72kW,3kW,355kW,0kW,49kW,0kW
2016-02-07T22:20:00+11:00 Sydney,10kW,21kW,23kW,,115kW,121kW,12kW,11kW,0kW,0kW,15kW,1kW,1kW,,2kW,0kW,252kW,1kW,6kW,1kW,17kW,85kW,0kW,37kW,19kW,,40kW,3kW,0kW,0kW,,,13kW,1kW,8kW,8kW,1kW,37kW,,15kW,52kW,109kW,22kW,0kW,40kW,0kW,,1kW,75kW,2kW,35kW,2462.832992553711kW,,65kW,0kW,0kW,15kW,6kW,0kW,0kW,1kW,24kW,32kW,30kW,1kW,2kW,129kW,70kW,0.061973705887794495kW,0kW,1kW,0kW,46kW,,,19kW,0kW,0kW,77kW,8kW,0kW,,322kW,15kW,91kW,26kW,,,393kW,6kW,,0kW,1kW,0kW,1kW,55kW,8kW,0kW,4kW,47kW,0kW,,0kW,343kW,39kW,30kW,59kW,19kW,0kW,,0kW,14kW,,11kW,,0kW,363kW,,472.77220153808594kW,1kW,,0kW,254kW,1kW,16kW,19kW,9kW,31kW,131kW,0kW,,41kW,2kW,7481.378797453401kW,9002.489761352539kW,120kW,9kW,,1kW,0kW,4kW,616kW,,,0kW,18kW,10kW,85kW,7kW,345kW,0kW,49kW,0kW
2016-02-07T22:30:00+11:00 Sydney,10kW,19kW,23kW,,147kW,121kW,12kW,11kW,0kW,0kW,13kW,1kW,1kW,,2kW,0kW,248kW,1kW,6kW,1kW,18kW,98kW,0kW,36kW,19kW,,40kW,7kW,0kW,0kW,,,13kW,1kW,8kW,8kW,1kW,36kW,,15kW,49kW,134kW,22kW,0kW,40kW,0kW,,1kW,70kW,2kW,35kW,2466.076689879797kW,,65kW,0kW,0kW,15kW,6kW,0kW,0kW,1kW,24kW,36kW,31kW,1kW,2kW,92kW,70kW,0.061973705887794495kW,0kW,5kW,0kW,52kW,,,19kW,0kW,0kW,77kW,16kW,0kW,,322kW,14kW,70kW,31kW,,,418kW,8kW,,0kW,3kW,0kW,1kW,55kW,8kW,0kW,4kW,47kW,0kW,,0kW,340kW,39kW,34kW,58kW,18kW,0kW,,0kW,15kW,,11kW,,0kW,390kW,,475.3887939453125kW,2kW,,0kW,254kW,1kW,18kW,19kW,9kW,31kW,139kW,0kW,,41kW,2kW,7560.067164671134kW,9079.938415527344kW,119kW,9kW,,1kW,0kW,4kW,696kW,,,0kW,18kW,10kW,85kW,7kW,359kW,0kW,49kW,0kW
2016-02-07T22:40:00+11:00 Sydney,10kW,19kW,24kW,,149kW,121kW,11kW,11kW,0kW,0kW,14kW,1kW,3kW,,2kW,0kW,255kW,4kW,2kW,1kW,17kW,91kW,0kW,32kW,18kW,,28kW,7kW,0kW,0kW,,,13kW,1kW,8kW,8kW,1kW,40kW,,10kW,49kW,134kW,22kW,0kW,40kW,0kW,,1kW,75kW,2kW,24kW,2468.554927186196kW,,27kW,0kW,0kW,13kW,5kW,0kW,0kW,1kW,24kW,36kW,31kW,0kW,2kW,85kW,74kW,0.06193241477012634kW,0kW,5kW,0kW,52kW,,,17kW,0kW,0kW,101kW,16kW,0kW,,321kW,14kW,90kW,31kW,,,418kW,9kW,,0kW,1kW,0kW,1kW,54kW,8kW,0kW,4kW,44kW,0kW,,0kW,378kW,36kW,34kW,58kW,18kW,0kW,,0kW,15kW,,7kW,,0kW,390kW,,462.0788040161133kW,2kW,,0kW,302kW,1kW,16kW,23kW,8kW,31kW,139kW,0kW,,41kW,3kW,7559.78295243639kW,9014.303211212158kW,120kW,9kW,,1kW,0kW,3kW,626kW,,,0kW,18kW,10kW,75kW,3kW,340kW,0kW,49kW,0kW
2016-02-07T22:50:00+11:00 Sydney,10kW,20kW,24kW,,149kW,118kW,8kW,7kW,0kW,0kW,14kW,1kW,3kW,,2kW,0kW,242kW,4kW,2kW,1kW,20kW,91kW,0kW,37kW,18kW,,40kW,3kW,0kW,0kW,,,12kW,1kW,8kW,8kW,3kW,40kW,,11kW,46kW,117kW,21kW,0kW,40kW,0kW,,1kW,75kW,2kW,20kW,2441.0401000976562kW,,43kW,0kW,0kW,13kW,6kW,0kW,0kW,1kW,24kW,30kW,28kW,0kW,2kW,92kW,74kW,0.06193241477012634kW,0kW,1kW,0kW,48kW,,,18kW,0kW,0kW,101kW,8kW,0kW,,321kW,14kW,90kW,29kW,,,414kW,9kW,,0kW,1kW,0kW,1kW,54kW,8kW,0kW,4kW,44kW,0kW,,0kW,378kW,38kW,33kW,44kW,18kW,0kW,,0kW,14kW,,3kW,,0kW,379kW,,475.84879302978516kW,1kW,,0kW,264kW,1kW,25kW,23kW,8kW,31kW,128kW,0kW,,41kW,3kW,7493.60226289928kW,8879.452617645264kW,119kW,9kW,,1kW,0kW,3kW,626kW,,,0kW,18kW,10kW,79kW,3kW,363kW,0kW,48kW,0kW
2016-02-07T23:00:00+11:00 Sydney,10kW,20kW,22kW,,146kW,122kW,11kW,7kW,0kW,0kW,14kW,1kW,2kW,,2kW,0kW,249kW,4kW,2kW,1kW,20kW,89kW,0kW,37kW,22kW,,39kW,7kW,0kW,0kW,,,14kW,1kW,8kW,8kW,3kW,35kW,,11kW,46kW,103kW,22kW,0kW,40kW,0kW,,1kW,67kW,2kW,19kW,2466.103500366211kW,,120kW,0kW,0kW,13kW,6kW,0kW,0kW,1kW,24kW,28kW,32kW,1kW,2kW,92kW,79kW,0.05786872282624245kW,0kW,1kW,0kW,54kW,,,18kW,0kW,0kW,74kW,8kW,0kW,,321kW,14kW,71kW,26kW,,,414kW,6kW,,0kW,1kW,0kW,1kW,54kW,8kW,0kW,5kW,44kW,0kW,,0kW,338kW,38kW,34kW,46kW,18kW,0kW,,0kW,14kW,,16kW,,0kW,377kW,,475.5654945373535kW,2kW,,0kW,261kW,1kW,25kW,19kW,9kW,34kW,128kW,0kW,,41kW,2kW,7445.316932560876kW,8821.266998291016kW,118kW,9kW,,1kW,0kW,3kW,577kW,,,0kW,19kW,10kW,87kW,3kW,363kW,0kW,48kW,0kW
2016-02-07T23:10:00+11:00 Sydney,10kW,19kW,23kW,,114kW,122kW,11kW,7kW,0kW,0kW,14kW,1kW,2kW,,2kW,0kW,248kW,4kW,2kW,1kW,18kW,95kW,0kW,33kW,22kW,,40kW,7kW,0kW,0kW,,,14kW,1kW,8kW,8kW,1kW,35kW,,10kW,40kW,107kW,22kW,0kW,41kW,0kW,,2kW,67kW,2kW,19kW,2466.103500366211kW,,120kW,0kW,0kW,13kW,5kW,0kW,0kW,1kW,24kW,30kW,32kW,1kW,2kW,89kW,79kW,0.06108938530087471kW,0kW,1kW,0kW,54kW,,,22kW,0kW,0kW,75kW,8kW,0kW,,320kW,14kW,93kW,25kW,,,409kW,8kW,,0kW,1kW,0kW,1kW,54kW,8kW,0kW,5kW,42kW,0kW,,0kW,370kW,38kW,37kW,46kW,18kW,0kW,,0kW,15kW,,16kW,,0kW,391kW,,474.1187934875488kW,2kW,,0kW,261kW,1kW,25kW,19kW,9kW,34kW,120kW,0kW,,41kW,3kW,7417.3559421841055kW,8749.576908111572kW,119kW,9kW,,1kW,0kW,3kW,606kW,,,0kW,19kW,10kW,87kW,3kW,346kW,0kW,43kW,0kW
2016-02-07T23:20:00+11:00 Sydney,10kW,19kW,24kW,,114kW,121kW,8kW,7kW,0kW,0kW,14kW,1kW,1kW,,2kW,0kW,245kW,4kW,2kW,1kW,18kW,95kW,0kW,34kW,21kW,,40kW,3kW,0kW,0kW,,,13kW,1kW,5kW,5kW,1kW,39kW,,13kW,38kW,114kW,21kW,0kW,41kW,0kW,,2kW,48kW,2kW,19kW,2440.9008026123047kW,,30kW,0kW,0kW,13kW,4kW,0kW,0kW,1kW,20kW,30kW,31kW,1kW,2kW,90kW,73kW,0.06108938530087471kW,0kW,1kW,0kW,48kW,,,21kW,0kW,0kW,80kW,8kW,0kW,,319kW,14kW,97kW,25kW,,,398kW,8kW,,0kW,1kW,0kW,1kW,55kW,8kW,0kW,4kW,42kW,0kW,,0kW,365kW,36kW,37kW,42kW,18kW,0kW,,0kW,15kW,,3kW,,0kW,391kW,,481.38339614868164kW,1kW,,0kW,247kW,1kW,22kW,19kW,8kW,30kW,129kW,0kW,,40kW,3kW,7300.170746261254kW,8719.279628753662kW,119kW,9kW,,1kW,0kW,3kW,621kW,,,0kW,18kW,10kW,84kW,3kW,339kW,0kW,41kW,0kW
2016-02-07T23:30:00+11:00 Sydney,10kW,18kW,24kW,,118kW,117kW,10kW,7kW,0kW,0kW,14kW,1kW,1kW,,2kW,0kW,262kW,4kW,2kW,1kW,18kW,89kW,0kW,39kW,21kW,,39kW,7kW,0kW,0kW,,,13kW,1kW,4kW,4kW,1kW,39kW,,13kW,35kW,114kW,21kW,0kW,36kW,0kW,,1kW,72kW,2kW,19kW,2446.952606201172kW,,42kW,0kW,0kW,14kW,5kW,0kW,0kW,1kW,20kW,26kW,31kW,1kW,2kW,94kW,71kW,0.05971745774149895kW,0kW,1kW,0kW,44kW,,,21kW,0kW,0kW,80kW,8kW,0kW,,320kW,14kW,97kW,26kW,,,376kW,6kW,,0kW,1kW,0kW,1kW,58kW,7kW,0kW,4kW,45kW,0kW,,0kW,343kW,37kW,28kW,43kW,17kW,0kW,,0kW,14kW,,3kW,,0kW,358kW,,473.38339614868164kW,1kW,,0kW,301kW,1kW,22kW,18kW,9kW,30kW,129kW,0kW,,40kW,3kW,7329.220938136801kW,8767.420993804932kW,119kW,9kW,,1kW,0kW,3kW,605kW,,,0kW,19kW,10kW,100kW,3kW,343kW,0kW,44kW,0kW
2016-02-07T23:40:00+11:00 Sydney,11kW,17kW,24kW,,145kW,121kW,7kW,10kW,0kW,0kW,13kW,1kW,3kW,,2kW,0kW,250kW,4kW,2kW,1kW,18kW,85kW,0kW,39kW,20kW,,42kW,3kW,0kW,0kW,,,15kW,1kW,8kW,8kW,1kW,33kW,,10kW,36kW,118kW,21kW,0kW,35kW,0kW,,1kW,72kW,2kW,19kW,2446.952606201172kW,,115kW,0kW,0kW,14kW,4kW,0kW,0kW,1kW,20kW,23kW,26kW,0kW,2kW,94kW,70kW,0.05971745774149895kW,0kW,1kW,0kW,52kW,,,18kW,0kW,0kW,69kW,9kW,0kW,,326kW,15kW,92kW,25kW,,,397kW,11kW,,0kW,1kW,0kW,1kW,58kW,8kW,0kW,5kW,78kW,0kW,,0kW,314kW,37kW,28kW,69kW,17kW,0kW,,0kW,16kW,,11kW,,0kW,376kW,,477.0307960510254kW,2kW,,0kW,264kW,1kW,22kW,20kW,9kW,30kW,124kW,0kW,,40kW,2kW,7415.446854731068kW,8690.975933074951kW,119kW,8kW,,1kW,0kW,3kW,577kW,,,0kW,18kW,13kW,95kW,3kW,346kW,0kW,44kW,0kW
2016-02-07T23:50:00+11:00 Sydney,11kW,16kW,24kW,,145kW,121kW,7kW,10kW,0kW,0kW,13kW,1kW,3kW,,2kW,0kW,250kW,4kW,2kW,1kW,18kW,89kW,0kW,32kW,20kW,,42kW,4kW,0kW,0kW,,,15kW,1kW,8kW,8kW,1kW,33kW,,9kW,36kW,118kW,24kW,0kW,35kW,0kW,,1kW,56kW,2kW,34kW,2444.257797241211kW,,115kW,0kW,0kW,14kW,4kW,0kW,0kW,1kW,23kW,24kW,26kW,0kW,2kW,90kW,71kW,0.05745586007833481kW,0kW,1kW,0kW,52kW,,,24kW,0kW,0kW,72kW,9kW,0kW,,329kW,18kW,100kW,26kW,,,397kW,11kW,,0kW,1kW,0kW,1kW,55kW,8kW,0kW,5kW,78kW,0kW,,0kW,330kW,38kW,29.5kW,69kW,17kW,0kW,,0kW,14kW,,11kW,,0kW,379kW,,486.04639625549316kW,2kW,,0kW,306kW,1kW,24kW,23kW,8kW,30kW,129kW,0kW,,40kW,3kW,7451.696822565049kW,8724.289813995361kW,119kW,10kW,,1kW,0kW,3kW,603kW,,,0kW,18kW,13kW,95kW,3kW,346kW,0kW,40kW,0kW
2016-02-08T00:00:00+11:00 Sydney,10kW,18kW,23kW,,94kW,118kW,7kW,10kW,0kW,0kW,13kW,2kW,1kW,,2kW,0kW,237kW,0kW,2kW,1kW,18kW,90kW,0kW,33kW,17kW,,36kW,4kW,0kW,0kW,,,15kW,1kW,4kW,4kW,1kW,29kW,,10kW,35kW,96kW,24kW,0kW,35kW,0kW,,1kW,63kW,2kW,34kW,2452.8824005126953kW,,26kW,0kW,0kW,13kW,4kW,0kW,0kW,1kW,34kW,26kW,25kW,0kW,2kW,93kW,73kW,0.05759065970778465kW,0kW,1kW,0kW,50kW,,,24kW,0kW,0kW,68kW,8kW,0kW,,323kW,18kW,108kW,29kW,,,371kW,6kW,,0kW,3kW,0kW,1kW,55kW,8kW,0kW,5kW,73kW,0kW,,0kW,353kW,36kW,32kW,58kW,17kW,0kW,,0kW,15kW,,3kW,,0kW,378kW,,518.8108978271484kW,1kW,,0kW,306kW,1kW,26kW,23kW,7kW,30kW,134kW,0kW,,36kW,3kW,7342.794627588242kW,8731.500919342041kW,119kW,11kW,,1kW,0kW,4kW,637kW,,,0kW,18kW,13kW,85kW,3kW,332kW,0kW,40kW,0kW
2016-02-08T00:10:00+11:00 Sydney,10kW,18kW,23kW,,113kW,121kW,6kW,6kW,0kW,0kW,13kW,2kW,1kW,,2kW,0kW,237kW,0kW,2kW,1kW,18kW,90kW,0kW,33kW,18kW,,46kW,7kW,0kW,0kW,,,15kW,1kW,4kW,4kW,1kW,29kW,,9kW,36kW,90kW,20kW,0kW,32kW,0kW,,1kW,63kW,2kW,25kW,2453.031295776367kW,,42kW,0kW,0kW,14kW,5kW,0kW,0kW,1kW,34kW,26kW,25kW,0kW,2kW,93kW,73kW,0.05759065970778465kW,0kW,1kW,0kW,46kW,,,19kW,0kW,0kW,68kW,7kW,0kW,,320kW,18kW,72kW,29kW,,,366kW,13kW,,0kW,3kW,0kW,1kW,55kW,7kW,0kW,4kW,45kW,0kW,,0kW,333kW,36kW,32kW,48kW,17kW,0kW,,0kW,15kW,,3kW,,0kW,363kW,,517.8108978271484kW,1kW,,0kW,253kW,1kW,26kW,22kW,9kW,30kW,134kW,0kW,,36kW,3kW,7213.943590251729kW,8702.549961090088kW,118kW,11kW,,1kW,0kW,4kW,626kW,,,0kW,18kW,10kW,89kW,3kW,321kW,0kW,37kW,0kW
