Timestamp,B001 B1 V Power,B040A B40A V Power,B007 B7 V Power,B92 B92 V Power,B142 B142 V Power,B026 B26 V Power,B138 B138 V Power,B126 B126 V Power,B001A B1A V Power,B005 B5 V Power,B075G B75G V Power,B110 B110 V Power,B001B B1B V Power,B072 B72 V Power,Test Building Test Building V Power,B053 B53 V Power,B090 B90 V Power,B131 B131 V Power,B049C B49C V Power,B069 B69 V Power,B068 B68 V Power,B099 B99 V Power,B020 B20 V Power,B088 B88 V Power,B095 B95 V Power,B073 B73 V Power,B064 B64 V Power,B133 B133 V Power,B127 B127 V Power,B075TB B75T2 V Power,B088TH B88TH V Power,B046J B46J V Power,B046F B46F V Power,B013 B13 V Power,B064A B64A V Power,B018 B18 V Power,B018 B18 V Power,B067B B67B V Power,B026C B26C V Power,B047 B47 V Power,B078 B78 V Power,B030 B30 V Power,B052 B52 V Power,B120 B120 V Power,B128 B128 V Power,B050T B50T1T2 V Power,B075TA B75T1 V Power,B075 B75 V Power,B077 B77 V Power,B044 B44 V Power,B029 B29 V Power,B106 B106 V Power,B143 B143 V Power,B003L B3L V Power,B130 B130 V Power,B118 B118 V Power,B046H B46H V Power,B122 B122 V Power,B141 B141 V Power,B012 B12 V Power,B035A B35A V Power,B065 B65 V Power,B048 B48 V Power,B014 B14 V Power,B040 B40 V Power,B077A B77A V Power,B019A B19A V Power,B108 B108 V Power,B038  B38B39 V Power,B089 B89 V Power,B075E B75E V Power,B067C B67C V Power,B066 B66 V Power,B124 B124 V Power,B049A B49A V Power,B013T B13T1 V Power,B016 B16 V Power,B046C B46C V Power,B1A B1A V Power,B071T B71T V Power,B009 B9 V Power,B037 B37 V Power,B042 B42 V Power,B046N B46N V Power,B117 B117 V Power,B100 B100 V Power,B026A B26A V Power,B035 B35 V Power,B024 B24 V Power,B046S B46S V Power,B046 B46 V Power,B064B B64B V Power,B079A B79A V Power,B067A B67A V Power,B080 B80 V Power,B081 B81 V Power,B093 B93 V Power,B115 B115 V Power,B076 B76 V Power,B075A B75A V Power,B063 B63 V Power,B132A B132A V Power,B013B B13B V Power,B113 B113 V Power,B082 B82 V Power,B061 B61 V Power,B010 B10 V Power,B017 B17 V Power,B116 B116 V Power,B025A B25A V Power,B105D B105D V Power,B046R B46R V Power,B032 B32 V Power,B027 B27 V Power,B132 B132 V Power,B042A B42A V Power,B054 B54 V Power,B050 B50 V Power,B056 B56 V Power,B188 B188 V Power,B135 B135 V Power,B006 B6 V Power,B045A B45A V Power,B067 B67 V Power,B137 B137 V Power,B071 B71 V Power,B059 B59 V Power,B022 B22 V Power,B008 B8 V Power,B043 B43 V Power,B049 B49 V Power,B028 B28 V Power,B046Q B46Q V Power,B002 B2 V Power,B056A B56A V Power,Acton Campus_Metering V V Power,Acton Campus_Metering V Power,B015 B15 V Power,B019 B19 V Power,Test Test V Power,B070 B70 V Power,B075F B75F V Power,B010T B10T1 V Power,B058 B58 V Power,B031 B31 V Power,B045 B45 V Power,B063T B63T1 V Power,B109 B109 V Power,B062 B62 V Power,B136 B136 V Power,B101 B101 V Power,B134 B134 V Power,B075D B75D V Power,B051 B51 V Power,B003H B3H V Power
2016-07-20T04:50:00+10:00 Sydney,179.4348862802647kW,33kW,35kW,"","",164kW,130kW,10kW,5kW,49kW,3kW,119kW,1kW,1kW,"",4kW,0kW,"",2kW,2kW,1kW,18kW,78kW,4kW,40kW,19kW,0kW,28kW,4kW,0kW,7kW,0kW,0kW,32kW,0kW,6kW,6kW,1kW,57kW,18kW,13kW,115kW,121kW,31kW,1kW,118kW,0kW,0kW,3kW,75kW,25kW,23kW,1672.5561981201172kW,3kW,35kW,67kW,0kW,28kW,16kW,5kW,31kW,3kW,34kW,52kW,41kW,7kW,5kW,89kW,97kW,0.8208284974098206kW,1kW,1kW,0kW,35kW,5kW,"",57kW,158kW,"",12kW,108kW,11kW,0kW,10kW,187kW,31kW,21kW,98kW,32kW,2kW,477kW,10kW,"",2kW,1kW,0kW,1kW,0kW,23kW,0kW,4kW,47kW,0kW,47kW,0kW,360kW,52kW,26kW,0kW,20kW,0kW,1kW,140kW,16kW,53kW,2kW,"",34kW,"","",195.5674934387207kW,1kW,1kW,0kW,277kW,7kW,18kW,57kW,17kW,56kW,111kW,0kW,3kW,88kW,3kW,8873.379406336513kW,0kW,129kW,12kW,"",0kW,3kW,3kW,644kW,10kW,"",0kW,19kW,14kW,128kW,3kW,339kW,2kW,51kW,4kW
2016-07-20T04:55:00+10:00 Sydney,179.43112619222362kW,34kW,35kW,"","",164kW,130kW,10kW,5kW,49kW,3kW,116kW,1kW,1kW,"",4kW,0kW,"",2kW,2kW,1kW,18kW,83kW,1kW,62kW,19kW,0kW,28kW,4kW,0kW,7kW,0kW,0kW,32kW,0kW,6kW,6kW,1kW,57kW,18kW,13kW,133kW,121kW,29kW,1kW,118kW,0kW,0kW,3kW,75kW,25kW,23kW,1666.5561981201172kW,3kW,35kW,68kW,0kW,43kW,16kW,5kW,31kW,3kW,44kW,52kW,41kW,7kW,5kW,92kW,97kW,0.8208284974098206kW,1kW,1kW,0kW,35kW,5kW,"",57kW,158kW,"",8kW,105kW,11kW,0kW,10kW,187kW,29kW,21kW,98kW,38kW,2kW,477kW,10kW,"",2kW,1kW,0kW,1kW,0kW,23kW,0kW,4kW,47kW,0kW,47kW,0kW,358kW,53kW,26kW,0kW,20kW,0kW,1kW,140kW,16kW,47kW,2kW,"",38kW,"","",198.4385929107666kW,1kW,1kW,0kW,277kW,7kW,18kW,55kW,17kW,56kW,112kW,0kW,3kW,88kW,3kW,8914.246745720517kW,0kW,127kW,12kW,"",0kW,3kW,3kW,626kW,10kW,"",0kW,19kW,14kW,128kW,3kW,341kW,2kW,51kW,4kW
2016-07-20T05:00:00+10:00 Sydney,179.42736610418254kW,34kW,35kW,"","",159kW,130kW,11kW,5kW,49kW,4kW,116kW,2kW,2kW,"",4kW,0kW,"",1kW,2kW,1kW,18kW,83kW,1kW,62kW,22kW,0kW,28kW,4kW,0kW,7kW,0kW,1kW,33kW,0kW,6kW,6kW,1kW,57kW,19kW,12kW,133kW,110kW,29kW,1kW,109kW,0kW,0kW,4kW,72kW,25kW,23kW,1704.3403015136719kW,3kW,37kW,68kW,0kW,43kW,16kW,5kW,29kW,3kW,44kW,45kW,42kW,9kW,6kW,90kW,100kW,0.821027934551239kW,4kW,0kW,0kW,35kW,4kW,"",54kW,164kW,"",8kW,105kW,11kW,0kW,9kW,185kW,29kW,21kW,103kW,38kW,2kW,492kW,10kW,"",2kW,1kW,0kW,1kW,0kW,22kW,0kW,4kW,47kW,0kW,47kW,0kW,349kW,53kW,26kW,0kW,19kW,0kW,1kW,150kW,16kW,47kW,2kW,"",38kW,"","",194.25590705871582kW,1kW,1kW,0kW,277kW,7kW,18kW,56kW,17kW,53kW,112kW,0kW,4kW,91kW,3kW,8950.844602611121kW,0kW,128kW,13kW,"",0kW,7kW,3kW,626kW,10kW,"",0kW,19kW,11kW,128kW,3kW,341kW,2kW,51kW,4kW
2016-07-20T05:05:00+10:00 Sydney,179.42360601614146kW,30kW,35kW,"","",159kW,134kW,11kW,5kW,45kW,4kW,116kW,2kW,2kW,"",4kW,0kW,"",1kW,2kW,1kW,18kW,111kW,1kW,62kW,22kW,0kW,37kW,4kW,0kW,7kW,0kW,1kW,33kW,0kW,6kW,6kW,1kW,56kW,19kW,12kW,125kW,110kW,29kW,1kW,109kW,0kW,0kW,4kW,72kW,25kW,37kW,1704.3403015136719kW,3kW,37kW,68kW,0kW,42kW,16kW,5kW,29kW,3kW,44kW,45kW,42kW,9kW,6kW,90kW,100kW,0.821027934551239kW,4kW,0kW,0kW,35kW,4kW,"",54kW,164kW,"",10kW,104kW,11kW,0kW,9kW,192kW,29kW,21kW,103kW,38kW,2kW,492kW,10kW,"",2kW,1kW,0kW,1kW,0kW,22kW,0kW,4kW,49kW,0kW,41kW,0kW,349kW,53kW,26kW,0kW,19kW,0kW,1kW,150kW,16kW,47kW,2kW,"",36kW,"","",197.25590705871582kW,1kW,1kW,0kW,308kW,1kW,18kW,56kW,16kW,53kW,113kW,0kW,4kW,91kW,3kW,9072.840842523081kW,0kW,128kW,13kW,"",0kW,7kW,12kW,634kW,10kW,"",0kW,19kW,11kW,143kW,3kW,339kW,2kW,54kW,4kW
2016-07-20T05:10:00+10:00 Sydney,182.4198459281004kW,30kW,35kW,"","",159kW,134kW,9kW,5kW,45kW,4kW,107kW,2kW,2kW,"",4kW,0kW,"",1kW,2kW,1kW,18kW,111kW,1kW,76kW,22kW,0kW,37kW,4kW,0kW,7kW,0kW,0kW,33kW,0kW,6kW,6kW,1kW,56kW,19kW,12kW,125kW,110kW,33kW,1kW,109kW,0kW,0kW,4kW,70kW,25kW,37kW,1705.8684997558594kW,3kW,39kW,82kW,0kW,42kW,16kW,5kW,29kW,3kW,50kW,45kW,42kW,9kW,6kW,95kW,100kW,0.8213702440261841kW,4kW,0kW,0kW,35kW,4kW,"",57kW,164kW,"",10kW,104kW,11kW,0kW,9kW,192kW,33kW,21kW,103kW,46kW,2kW,492kW,10kW,"",2kW,1kW,0kW,1kW,0kW,22kW,0kW,4kW,49kW,0kW,41kW,0kW,359kW,71kW,26kW,0kW,19kW,0kW,1kW,150kW,19kW,50kW,2kW,"",36kW,"","",196.29899787902832kW,1kW,1kW,0kW,308kW,1kW,18kW,56kW,16kW,53kW,106kW,0kW,4kW,91kW,3kW,9140.408713807014kW,0kW,129kW,13kW,"",0kW,7kW,12kW,635kW,10kW,"",0kW,19kW,11kW,143kW,3kW,332kW,2kW,54kW,4kW
2016-07-20T05:15:00+10:00 Sydney,182.4160858400593kW,30kW,31kW,"","",138kW,130kW,9kW,5kW,45kW,1kW,107kW,2kW,1kW,"",4kW,0kW,"",1kW,6kW,1kW,18kW,111kW,1kW,76kW,16kW,0kW,28kW,4kW,0kW,7kW,0kW,0kW,35kW,0kW,6kW,6kW,1kW,56kW,18kW,14kW,125kW,118kW,33kW,1kW,112kW,0kW,0kW,4kW,70kW,25kW,37kW,1709.8684997558594kW,3kW,39kW,82kW,0kW,42kW,17kW,5kW,29kW,2kW,50kW,49kW,42kW,8kW,1kW,95kW,93kW,0.8213702440261841kW,2kW,0kW,0kW,30kW,3kW,"",57kW,147kW,"",10kW,104kW,11kW,0kW,12kW,194kW,33kW,21kW,149kW,46kW,2kW,492kW,13kW,"",2kW,1kW,0kW,1kW,0kW,22kW,0kW,4kW,59kW,0kW,41kW,0kW,395kW,71kW,27kW,0kW,19kW,0kW,1kW,146kW,19kW,50kW,2kW,"",36kW,"","",196.3505973815918kW,1kW,1kW,0kW,275kW,1kW,18kW,54kW,16kW,58kW,106kW,0kW,3kW,89kW,3kW,9196.456553221537kW,0kW,129kW,10kW,"",0kW,8kW,12kW,636kW,10kW,"",0kW,19kW,13kW,115kW,3kW,332kW,1kW,54kW,3kW
2016-07-20T05:20:00+10:00 Sydney,182.41232575201823kW,31kW,31kW,"","",138kW,130kW,9kW,5kW,46kW,1kW,107kW,2kW,1kW,"",4kW,0kW,"",1kW,6kW,1kW,18kW,95kW,1kW,81kW,16kW,0kW,28kW,4kW,0kW,7kW,0kW,0kW,35kW,0kW,11kW,11kW,1kW,59kW,18kW,14kW,125kW,118kW,39kW,1kW,112kW,0kW,0kW,4kW,70kW,25kW,41kW,1709.8684997558594kW,3kW,39kW,82kW,0kW,50kW,17kW,5kW,29kW,2kW,49kW,49kW,42kW,8kW,1kW,95kW,93kW,0.8213702440261841kW,2kW,0kW,0kW,30kW,3kW,"",57kW,147kW,"",6kW,119kW,11kW,0kW,12kW,206kW,39kW,21kW,149kW,45kW,2kW,492kW,13kW,"",2kW,1kW,0kW,1kW,0kW,22kW,0kW,4kW,59kW,0kW,49kW,0kW,392kW,71kW,27kW,0kW,19kW,0kW,1kW,146kW,19kW,50kW,2kW,"",35kW,"","",196.3505973815918kW,1kW,1kW,0kW,275kW,1kW,18kW,54kW,16kW,58kW,106kW,0kW,3kW,89kW,3kW,9268.452793133496kW,0kW,132kW,10kW,"",0kW,8kW,32kW,649kW,10kW,"",0kW,19kW,13kW,115kW,5kW,334kW,1kW,50kW,3kW
2016-07-20T05:25:00+10:00 Sydney,182.40856566397716kW,31kW,31kW,"","",138kW,130kW,9kW,5kW,46kW,1kW,99kW,5kW,1kW,"",4kW,0kW,"",1kW,6kW,1kW,18kW,95kW,1kW,81kW,16kW,0kW,28kW,4kW,0kW,7kW,0kW,0kW,35kW,0kW,11kW,11kW,1kW,59kW,18kW,14kW,125kW,118kW,39kW,1kW,114kW,0kW,0kW,4kW,70kW,25kW,41kW,1708.4822998046875kW,3kW,39kW,84kW,0kW,50kW,17kW,5kW,29kW,2kW,49kW,49kW,42kW,8kW,1kW,100kW,93kW,0.8191987872123718kW,2kW,0kW,0kW,30kW,3kW,"",55kW,152kW,"",6kW,119kW,11kW,0kW,12kW,206kW,39kW,25kW,149kW,45kW,2kW,492kW,13kW,"",2kW,1kW,0kW,1kW,0kW,22kW,0kW,4kW,59kW,0kW,49kW,0kW,369kW,65kW,27kW,0kW,19kW,0kW,1kW,146kW,15kW,55kW,2kW,"",35kW,"","",194.8546028137207kW,1kW,1kW,0kW,275kW,1kW,16kW,52kW,16kW,56kW,110kW,0kW,3kW,89kW,3kW,9239.564667069597kW,0kW,128kW,10kW,"",0kW,8kW,32kW,652kW,10kW,"",0kW,19kW,13kW,115kW,5kW,334kW,1kW,50kW,3kW
2016-07-20T05:30:00+10:00 Sydney,182.40480557593608kW,29kW,33kW,"","",136kW,136kW,9kW,9kW,52kW,1kW,99kW,5kW,1kW,"",4kW,0kW,"",2kW,2kW,1kW,18kW,95kW,1kW,81kW,19kW,0kW,31kW,4kW,0kW,7kW,0kW,0kW,35kW,0kW,7kW,7kW,1kW,54kW,19kW,12kW,141kW,124kW,39kW,1kW,114kW,0kW,0kW,2kW,70kW,25kW,40kW,1708.4822998046875kW,3kW,39kW,84kW,0kW,49kW,16kW,5kW,30kW,2kW,49kW,57kW,37kW,5kW,2kW,100kW,104kW,0.8191987872123718kW,1kW,1kW,0kW,29kW,3kW,"",56kW,152kW,"",17kW,113kW,12kW,0kW,12kW,217kW,39kW,25kW,131kW,45kW,2kW,506kW,16kW,"",2kW,1kW,0kW,1kW,0kW,22kW,0kW,4kW,55kW,0kW,50kW,0kW,369kW,65kW,30kW,0kW,19kW,0kW,0kW,155kW,15kW,55kW,2kW,"",35kW,"","",186.8546028137207kW,1kW,1kW,0kW,280kW,1kW,16kW,52kW,16kW,56kW,110kW,0kW,3kW,113kW,3kW,9384.560906981556kW,0kW,128kW,10kW,"",0kW,6kW,32kW,665kW,14kW,"",0kW,19kW,16kW,122kW,3kW,340kW,0kW,51kW,4kW
2016-07-20T05:35:00+10:00 Sydney,183.401045487895kW,29kW,33kW,"","",136kW,136kW,11kW,9kW,52kW,1kW,110kW,5kW,1kW,"",4kW,0kW,"",2kW,2kW,1kW,18kW,99kW,1kW,80kW,19kW,0kW,31kW,4kW,0kW,7kW,0kW,0kW,35kW,0kW,7kW,7kW,1kW,54kW,19kW,12kW,141kW,124kW,32kW,1kW,114kW,0kW,0kW,2kW,70kW,25kW,40kW,1692.4822998046875kW,3kW,39kW,78kW,0kW,49kW,16kW,5kW,30kW,2kW,50kW,57kW,37kW,5kW,2kW,101kW,104kW,0.8221767544746399kW,1kW,1kW,0kW,29kW,3kW,"",56kW,152kW,"",17kW,113kW,12kW,0kW,12kW,217kW,32kW,25kW,131kW,40kW,2kW,506kW,16kW,"",2kW,1kW,0kW,1kW,0kW,22kW,0kW,4kW,55kW,0kW,50kW,0kW,313kW,80kW,30kW,0kW,19kW,0kW,0kW,155kW,19kW,54kW,2kW,"",39kW,"","",194.68779373168945kW,1kW,1kW,0kW,280kW,1kW,14kW,52kW,16kW,56kW,111kW,0kW,3kW,113kW,3kW,9348.393315778747kW,0kW,126kW,10kW,"",0kW,6kW,20kW,667kW,14kW,"",0kW,19kW,16kW,122kW,3kW,358kW,0kW,51kW,4kW
2016-07-20T05:40:00+10:00 Sydney,183.39728539985393kW,29kW,29kW,"","",133kW,136kW,11kW,6kW,52kW,1kW,110kW,2kW,1kW,"",3kW,0kW,"",2kW,2kW,1kW,18kW,99kW,1kW,80kW,22kW,0kW,37kW,6kW,0kW,7kW,0kW,0kW,38kW,0kW,7kW,7kW,1kW,54kW,18kW,22kW,141kW,111kW,32kW,1kW,107kW,0kW,0kW,1kW,74kW,25kW,40kW,1644.9149017333984kW,3kW,34kW,78kW,0kW,49kW,16kW,5kW,31kW,2kW,50kW,48kW,39kW,7kW,2kW,101kW,97kW,0.8221767544746399kW,4kW,1kW,0kW,33kW,4kW,"",56kW,153kW,"",17kW,113kW,12kW,0kW,15kW,217kW,32kW,28kW,109kW,40kW,1kW,495kW,8kW,"",2kW,1kW,0kW,1kW,0kW,24kW,0kW,4kW,55kW,0kW,50kW,0kW,306kW,80kW,22kW,0kW,19kW,0kW,0kW,165kW,19kW,54kW,1kW,"",39kW,"","",194.49359321594238kW,1kW,5kW,0kW,304kW,1kW,14kW,54kW,16kW,60kW,111kW,0kW,3kW,111kW,3kW,9286.627957103668kW,0kW,127kW,12kW,"",0kW,10kW,20kW,668kW,14kW,"",0kW,19kW,17kW,137kW,3kW,358kW,0kW,51kW,2kW
2016-07-20T05:45:00+10:00 Sydney,183.39352531181285kW,29kW,29kW,"","",133kW,132kW,11kW,6kW,50kW,1kW,110kW,2kW,1kW,"",3kW,0kW,"",2kW,2kW,1kW,18kW,107kW,1kW,92kW,22kW,0kW,37kW,6kW,0kW,7kW,0kW,0kW,38kW,0kW,7kW,7kW,1kW,58kW,18kW,22kW,123kW,111kW,39kW,1kW,107kW,0kW,0kW,1kW,74kW,25kW,23kW,1644.9149017333984kW,3kW,34kW,78kW,0kW,47kW,15kW,5kW,31kW,2kW,50kW,48kW,39kW,7kW,2kW,101kW,97kW,0.8221767544746399kW,4kW,1kW,0kW,33kW,4kW,"",56kW,153kW,"",10kW,111kW,12kW,0kW,15kW,185kW,39kW,28kW,109kW,42kW,1kW,495kW,8kW,"",2kW,1kW,0kW,1kW,0kW,24kW,0kW,4kW,57kW,0kW,49kW,0kW,327kW,80kW,22kW,0kW,19kW,0kW,0kW,165kW,19kW,54kW,1kW,"",36kW,"","",194.49359321594238kW,1kW,5kW,0kW,304kW,1kW,14kW,54kW,16kW,60kW,111kW,0kW,3kW,111kW,3kW,9219.624197015628kW,0kW,127kW,12kW,"",1kW,10kW,17kW,652kW,14kW,"",0kW,19kW,17kW,137kW,5kW,337kW,0kW,68kW,2kW
2016-07-20T05:50:00+10:00 Sydney,182.38976522377178kW,29kW,29kW,"","",133kW,132kW,15kW,6kW,50kW,1kW,110kW,1kW,1kW,"",3kW,0kW,"",2kW,2kW,1kW,18kW,107kW,1kW,92kW,22kW,0kW,37kW,6kW,0kW,7kW,0kW,0kW,38kW,0kW,7kW,7kW,1kW,58kW,18kW,22kW,123kW,111kW,39kW,1kW,106kW,0kW,0kW,1kW,57kW,25kW,23kW,1710.6531066894531kW,3kW,34kW,78kW,0kW,47kW,15kW,5kW,31kW,2kW,50kW,48kW,39kW,7kW,2kW,103kW,97kW,0.8171982169151306kW,4kW,1kW,0kW,33kW,4kW,"",56kW,154kW,"",10kW,111kW,12kW,0kW,15kW,185kW,39kW,34kW,109kW,42kW,1kW,495kW,8kW,"",2kW,1kW,0kW,1kW,0kW,24kW,0kW,4kW,57kW,0kW,49kW,0kW,339kW,72kW,22kW,0kW,19kW,0kW,0kW,165kW,15kW,55kW,1kW,"",36kW,"","",183.20410346984863kW,1kW,5kW,0kW,304kW,1kW,18kW,55kW,16kW,53kW,109kW,0kW,3kW,111kW,3kW,9267.064173599989kW,0kW,130kW,12kW,"",1kW,10kW,17kW,652kW,14kW,"",0kW,19kW,17kW,137kW,5kW,337kW,0kW,68kW,2kW
2016-07-20T05:55:00+10:00 Sydney,182.3860051357307kW,29kW,25kW,"","",136kW,135kW,15kW,9kW,44kW,1kW,110kW,1kW,2kW,"",7kW,0kW,"",1kW,2kW,1kW,18kW,107kW,1kW,92kW,19kW,0kW,34kW,7kW,0kW,7kW,0kW,0kW,38kW,0kW,7kW,7kW,1kW,58kW,17kW,13kW,123kW,135kW,39kW,1kW,106kW,0kW,0kW,3kW,57kW,25kW,23kW,1710.6531066894531kW,3kW,34kW,78kW,0kW,47kW,18kW,5kW,31kW,2kW,50kW,49kW,39kW,7kW,2kW,103kW,103kW,0.8171982169151306kW,4kW,1kW,0kW,37kW,2kW,"",55kW,154kW,"",10kW,111kW,16kW,0kW,20kW,186kW,39kW,34kW,128kW,42kW,2kW,506kW,6kW,"",2kW,1kW,0kW,1kW,0kW,23kW,0kW,4kW,54kW,0kW,49kW,0kW,316kW,72kW,43kW,0kW,19kW,0kW,2kW,151kW,15kW,55kW,2kW,"",36kW,"","",187.15200424194336kW,1kW,1kW,0kW,281kW,1kW,18kW,55kW,14kW,53kW,109kW,0kW,4kW,122kW,3kW,9153.008314284041kW,0kW,130kW,15kW,"",1kW,15kW,17kW,638kW,14kW,"",0kW,19kW,20kW,113kW,5kW,336kW,0kW,69kW,7kW
2016-07-20T06:00:00+10:00 Sydney,179.38224504768962kW,34kW,25kW,"","",136kW,135kW,15kW,9kW,44kW,1kW,118kW,1kW,2kW,"",7kW,0kW,"",1kW,2kW,1kW,18kW,113kW,1kW,78kW,19kW,0kW,34kW,7kW,0kW,7kW,0kW,0kW,38kW,0kW,13kW,13kW,1kW,57kW,17kW,13kW,135kW,135kW,32kW,1kW,106kW,0kW,0kW,3kW,57kW,25kW,50kW,1706.6531066894531kW,3kW,34kW,70kW,0kW,50kW,18kW,5kW,31kW,2kW,49kW,49kW,39kW,7kW,2kW,103kW,103kW,0.8171982169151306kW,4kW,1kW,0kW,37kW,2kW,"",55kW,154kW,"",6kW,109kW,16kW,0kW,20kW,196kW,32kW,34kW,128kW,40kW,2kW,506kW,6kW,"",2kW,1kW,0kW,1kW,0kW,23kW,0kW,4kW,54kW,0kW,57kW,0kW,310kW,69kW,43kW,0kW,19kW,0kW,2kW,151kW,15kW,52kW,2kW,"",32kW,"","",187.15200424194336kW,1kW,1kW,0kW,281kW,1kW,14kW,55kW,14kW,53kW,108kW,0kW,4kW,122kW,3kW,9161.004554196kW,0kW,136kW,15kW,"",0kW,15kW,19kW,629kW,14kW,"",0kW,19kW,20kW,113kW,3kW,339kW,0kW,69kW,7kW
2016-07-20T06:05:00+10:00 Sydney,179.37848495964855kW,34kW,37kW,"","",179kW,135kW,12kW,5kW,44kW,1kW,118kW,2kW,2kW,"",29kW,0kW,"",1kW,2kW,1kW,18kW,113kW,1kW,78kW,19kW,0kW,34kW,7kW,0kW,7kW,0kW,0kW,43kW,0kW,13kW,13kW,1kW,57kW,19kW,13kW,135kW,131kW,32kW,1kW,115kW,0kW,0kW,3kW,56kW,25kW,50kW,1706.6253967285156kW,5kW,34kW,70kW,0kW,50kW,18kW,5kW,31kW,2kW,49kW,131kW,39kW,7kW,2kW,100kW,106kW,0.8199759721755981kW,4kW,1kW,0kW,37kW,2kW,"",56kW,159kW,"",6kW,109kW,16kW,0kW,17kW,200kW,32kW,37kW,132kW,40kW,4kW,551kW,13kW,"",2kW,1kW,0kW,1kW,0kW,23kW,0kW,5kW,54kW,0kW,57kW,0kW,318kW,69kW,38kW,0kW,19kW,0kW,1kW,152kW,18kW,52kW,3kW,"",32kW,"","",192.3747959136963kW,1kW,2kW,0kW,281kW,1kW,14kW,48kW,14kW,51kW,108kW,0kW,3kW,134kW,3kW,9424.198653574036kW,0kW,135kW,24kW,"",0kW,15kW,19kW,642kW,11kW,"",0kW,19kW,21kW,113kW,3kW,339kW,0kW,69kW,28kW
2016-07-20T06:10:00+10:00 Sydney,179.37472487160747kW,29kW,37kW,"","",179kW,139kW,12kW,5kW,55kW,6kW,118kW,2kW,1kW,"",29kW,0kW,"",1kW,2kW,1kW,29kW,128kW,1kW,78kW,22kW,0kW,37kW,13kW,0kW,7kW,0kW,0kW,43kW,0kW,10kW,10kW,1kW,59kW,19kW,17kW,137kW,131kW,32kW,1kW,115kW,0kW,0kW,3kW,56kW,24kW,58kW,1706.6253967285156kW,5kW,34kW,70kW,0kW,47kW,16kW,11kW,31kW,2kW,53kW,131kW,39kW,6kW,2kW,100kW,106kW,0.8199759721755981kW,13kW,23kW,0kW,71kW,2kW,"",56kW,159kW,"",4kW,119kW,17kW,0kW,17kW,190kW,32kW,37kW,132kW,40kW,4kW,551kW,13kW,"",2kW,1kW,0kW,1kW,0kW,23kW,0kW,5kW,86kW,0kW,41kW,0kW,318kW,69kW,38kW,0kW,19kW,0kW,1kW,152kW,18kW,52kW,3kW,"",44kW,"","",188.3747959136963kW,1kW,2kW,0kW,278kW,10kW,14kW,48kW,15kW,51kW,108kW,0kW,3kW,134kW,3kW,9672.194893485994kW,0kW,135kW,24kW,"",0kW,17kW,18kW,660kW,11kW,"",0kW,19kW,21kW,120kW,4kW,356kW,0kW,80kW,28kW
2016-07-20T06:15:00+10:00 Sydney,179.3709647835664kW,29kW,37kW,"","",179kW,139kW,16kW,5kW,55kW,6kW,107kW,2kW,1kW,"",29kW,0kW,"",1kW,2kW,2kW,29kW,128kW,1kW,95kW,22kW,0kW,37kW,13kW,0kW,7kW,0kW,0kW,43kW,0kW,10kW,10kW,1kW,59kW,19kW,17kW,137kW,131kW,38kW,1kW,112kW,0kW,0kW,3kW,68kW,24kW,58kW,1709.8455963134766kW,5kW,38kW,68kW,0kW,47kW,16kW,11kW,31kW,2kW,53kW,131kW,39kW,6kW,2kW,102kW,106kW,0.8183830380439758kW,13kW,23kW,0kW,71kW,2kW,"",56kW,153kW,"",4kW,119kW,17kW,0kW,17kW,190kW,38kW,33kW,132kW,52kW,4kW,551kW,13kW,"",2kW,1kW,0kW,1kW,0kW,23kW,0kW,5kW,86kW,0kW,41kW,0kW,327kW,89kW,38kW,0kW,20kW,0kW,1kW,152kW,19kW,87kW,3kW,"",44kW,"","",184.27480506896973kW,1kW,2kW,0kW,278kW,10kW,18kW,48kW,15kW,55kW,107kW,0kW,3kW,134kW,3kW,9777.309749204056kW,0kW,136kW,24kW,"",0kW,17kW,18kW,660kW,11kW,"",0kW,19kW,21kW,120kW,4kW,356kW,0kW,80kW,28kW
2016-07-20T06:20:00+10:00 Sydney,179.36720469552532kW,29kW,38kW,"","",163kW,134kW,16kW,9kW,55kW,4kW,107kW,2kW,1kW,"",7kW,0kW,"",2kW,7kW,2kW,29kW,128kW,1kW,95kW,19kW,0kW,40kW,9kW,0kW,7kW,0kW,0kW,62kW,0kW,10kW,10kW,1kW,59kW,19kW,17kW,137kW,140kW,38kW,1kW,112kW,0kW,0kW,2kW,68kW,24kW,58kW,1709.8455963134766kW,3kW,38kW,68kW,0kW,47kW,17kW,11kW,30kW,2kW,53kW,136kW,40kW,7kW,9kW,102kW,111kW,0.8183830380439758kW,10kW,24kW,0kW,60kW,4kW,"",58kW,153kW,"",4kW,119kW,17kW,0kW,12kW,197kW,38kW,33kW,115kW,52kW,4kW,552kW,17kW,"",4kW,1kW,0kW,1kW,0kW,23kW,0kW,4kW,86kW,0kW,41kW,0kW,357kW,89kW,25kW,0kW,20kW,0kW,1kW,151kW,19kW,87kW,4kW,"",44kW,"","",182.6990032196045kW,4kW,1kW,0kW,289kW,10kW,18kW,52kW,15kW,55kW,107kW,0kW,4kW,133kW,3kW,9910.73018726665kW,0kW,136kW,26kW,"",0kW,27kW,18kW,672kW,13kW,"",0kW,19kW,18kW,111kW,4kW,356kW,0kW,80kW,7kW
