Timestamp,B001 B1 V Power,B040A B40A V Power,B007 B7 V Power,B142 B142 V Power,B026 B26 V Power,B138 B138 V Power,B126 B126 V Power,B001A B1A V Power,B005 B5 V Power,B075G B75G V Power,B110 B110 V Power,B001B B1B V Power,B072 B72 V Power,Test Building Test Building V Power,B053 B53 V Power,B090 B90 V Power,B131 B131 V Power,B049C B49C V Power,B069 B69 V Power,B068 B68 V Power,B099 B99 V Power,B020 B20 V Power,B088 B88 V Power,B095 B95 V Power,B073 B73 V Power,B064 B64 V Power,B133 B133 V Power,B127 B127 V Power,B075TB B75T2 V Power,B088TH B88TH V Power,B046J B46J V Power,B046F B46F V Power,B013 B13 V Power,B064A B64A V Power,B018 B18 V Power,B018 B18 V Power,B067B B67B V Power,B026C B26C V Power,B047 B47 V Power,B078 B78 V Power,B030 B30 V Power,B052 B52 V Power,B120 B120 V Power,B128 B128 V Power,B050T B50T1T2 V Power,B075TA B75T1 V Power,B075 B75 V Power,B077 B77 V Power,B044 B44 V Power,B029 B29 V Power,B106 B106 V Power,B143 B143 V Power,B003L B3L V Power,B130 B130 V Power,B118 B118 V Power,B046H B46H V Power,B122 B122 V Power,B141 B141 V Power,B012 B12 V Power,B035A B35A V Power,B065 B65 V Power,B048 B48 V Power,B014 B14 V Power,B040 B40 V Power,B077A B77A V Power,B019A B19A V Power,B108 B108 V Power,B038  B38B39 V Power,B089 B89 V Power,B075E B75E V Power,B067C B67C V Power,B066 B66 V Power,B124 B124 V Power,B049A B49A V Power,B013T B13T1 V Power,B016 B16 V Power,B046C B46C V Power,B071T B71T V Power,B009 B9 V Power,B037 B37 V Power,B042 B42 V Power,B046N B46N V Power,B117 B117 V Power,B100 B100 V Power,B026A B26A V Power,B035 B35 V Power,B024 B24 V Power,B046S B46S V Power,B046 B46 V Power,B064B B64B V Power,B079A B79A V Power,B067A B67A V Power,B080 B80 V Power,B081 B81 V Power,B093 B93 V Power,B115 B115 V Power,B076 B76 V Power,B075A B75A V Power,B063 B63 V Power,B132A B132A V Power,B013B B13B V Power,B113 B113 V Power,B082 B82 V Power,B061 B61 V Power,B010 B10 V Power,B017 B17 V Power,B116 B116 V Power,B025A B25A V Power,B105D B105D V Power,B046R B46R V Power,B032 B32 V Power,B027 B27 V Power,B132 B132 V Power,B042A B42A V Power,B054 B54 V Power,B050 B50 V Power,B056 B56 V Power,B188 B188 V Power,B135 B135 V Power,B006 B6 V Power,B045A B45A V Power,B067 B67 V Power,B137 B137 V Power,B071 B71 V Power,B059 B59 V Power,B022 B22 V Power,B008 B8 V Power,B043 B43 V Power,B049 B49 V Power,B028 B28 V Power,B046Q B46Q V Power,B002 B2 V Power,B056A B56A V Power,Acton Campus_Metering V V Power,Acton Campus_Metering V Power,B015 B15 V Power,B019 B19 V Power,Test Test V Power,B070 B70 V Power,B075F B75F V Power,B010T B10T1 V Power,B058 B58 V Power,B031 B31 V Power,B045 B45 V Power,B063T B63T1 V Power,B109 B109 V Power,B062 B62 V Power,B136 B136 V Power,B101 B101 V Power,B134 B134 V Power,B075D B75D V Power,B051 B51 V Power,B003H B3H V Power
2016-09-01T10:00:00+10:00 Sydney,195kW,43kW,53kW,,188kW,169kW,12kW,8kW,94kW,11kW,46kW,8kW,12kW,,21kW,0kW,414kW,10kW,12kW,6kW,14kW,308kW,1kW,153kW,58kW,,81kW,13kW,6kW,,,,73kW,0kW,37kW,37kW,1kW,167kW,,13kW,136kW,208kW,78kW,0kW,139kW,0kW,,21kW,88kW,32kW,61kW,2192.5135040283203kW,,76kW,85kW,0kW,59kW,24kW,42kW,50kW,6kW,77kW,96kW,29kW,8kW,16kW,154kW,151kW,0.0622650682926178kW,9kW,3kW,0kW,170kW,,,81kW,228kW,16kW,176kW,43kW,0kW,,377kW,78kW,91kW,125kW,87kW,,258kW,22kW,,4kW,1kW,0kW,13kW,0kW,24kW,6kW,12kW,165kW,0kW,,0kW,475kW,150kW,53kW,0kW,51kW,0kW,,157kW,44kW,,12kW,,71kW,418kW,,93.78350067138672kW,15kW,,5kW,498kW,6kW,27kW,89kW,21kW,121kW,131kW,0kW,,162kW,2kW,11486.203607397154kW,12726.965454101562kW,158kW,65kW,,4kW,20kW,24kW,874kW,,,5kW,16kW,46kW,167kW,13kW,267kW,3kW,123kW,16kW
2016-09-01T11:00:00+10:00 Sydney,187kW,20kW,53kW,,178kW,168kW,12kW,8kW,89kW,17kW,51kW,5kW,7kW,,15kW,0kW,431kW,10kW,13kW,5kW,15kW,327kW,0kW,165kW,83kW,,59kW,8kW,0kW,,,,73kW,0kW,38kW,38kW,1kW,163kW,,12kW,127kW,215kW,66kW,0kW,123kW,0kW,,13kW,92kW,31kW,39kW,2136.626205444336kW,,159kW,69kW,0kW,61kW,11kW,40kW,54kW,5kW,77kW,95kW,29kW,5kW,8kW,171kW,166kW,0.06241315230727196kW,8kW,19kW,0kW,162kW,,,61kW,238kW,16kW,175kW,43kW,0kW,,412kW,66kW,90kW,123kW,83kW,,258kW,22kW,,6kW,1kW,0kW,9kW,0kW,11kW,11kW,16kW,164kW,0kW,,0kW,509kW,139kW,53kW,0kW,46kW,0kW,,163kW,45kW,,18kW,,97kW,420kW,,97.55799865722656kW,5kW,,5kW,424kW,10kW,29kW,77kW,25kW,119kW,114kW,3kW,,159kW,2kW,11476.841213680804kW,12903.346435546875kW,155kW,60kW,,9kW,19kW,20kW,876kW,,,5kW,16kW,45kW,166kW,10kW,280kW,3kW,128kW,16kW
2016-09-01T12:00:00+10:00 Sydney,187kW,29kW,53kW,,188kW,167kW,8kW,8kW,84kW,13kW,71kW,5kW,7kW,,19kW,0kW,415kW,4kW,9kW,4kW,15kW,336kW,0kW,145kW,78kW,,59kW,14kW,0kW,,,,70kW,0kW,33kW,33kW,2kW,174kW,,12kW,140kW,199kW,64kW,0kW,115kW,0kW,,9kW,98kW,26kW,62kW,2185.0735931396484kW,,159kW,68kW,0kW,64kW,16kW,33kW,119kW,7kW,81kW,96kW,28kW,4kW,16kW,171kW,187kW,0.061242058873176575kW,10kW,19kW,0kW,152kW,,,61kW,229kW,16kW,176kW,42kW,0kW,,350kW,64kW,49kW,123kW,81kW,,258kW,17kW,,6kW,1kW,0kW,9kW,0kW,12kW,8kW,12kW,189kW,0kW,,0kW,494kW,129kW,64kW,0kW,59kW,0kW,,190kW,50kW,,12kW,,97kW,419kW,,95.47999954223633kW,4kW,,6kW,411kW,10kW,33kW,77kW,23kW,119kW,114kW,3kW,,159kW,2kW,11604.843148157kW,13081.299682617188kW,211kW,68kW,,4kW,16kW,14kW,898kW,,,3kW,16kW,46kW,166kW,9kW,275kW,4kW,133kW,19kW
2016-09-01T13:00:00+10:00 Sydney,163kW,21kW,51kW,,188kW,171kW,10kW,8kW,83kW,17kW,43kW,8kW,9kW,,19kW,0kW,405kW,4kW,13kW,3kW,15kW,325kW,0kW,143kW,62kW,,43kW,14kW,0kW,,,,62kW,0kW,32kW,32kW,2kW,173kW,,9kW,122kW,199kW,66kW,0kW,104kW,0kW,,9kW,103kW,28kW,63kW,2145.962600708008kW,,153kW,55kW,0kW,61kW,19kW,40kW,119kW,6kW,77kW,96kW,28kW,5kW,13kW,169kW,171kW,0.06016502156853676kW,7kW,8kW,0kW,162kW,,,57kW,235kW,19kW,174kW,39kW,0kW,,324kW,66kW,59kW,119kW,83kW,,258kW,21kW,,4kW,1kW,0kW,10kW,0kW,15kW,8kW,12kW,194kW,0kW,,0kW,512kW,145kW,67kW,0kW,52kW,0kW,,176kW,48kW,,25kW,,93kW,420kW,,103.8556022644043kW,5kW,,5kW,416kW,2kW,29kW,76kW,24kW,114kW,109kW,3kW,,154kW,4kW,11490.592764992267kW,13056.930297851562kW,174kW,74kW,,6kW,18kW,29kW,871kW,,,3kW,16kW,46kW,159kW,9kW,262kW,4kW,126kW,18kW
2016-09-01T14:00:00+10:00 Sydney,159kW,21kW,56kW,,180kW,174kW,9kW,8kW,86kW,15kW,66kW,6kW,8kW,,15kW,0kW,416kW,3kW,10kW,3kW,15kW,316kW,4kW,154kW,60kW,,54kW,11kW,0kW,,,,57kW,0kW,31kW,31kW,1kW,161kW,,9kW,124kW,185kW,62kW,0kW,104kW,0kW,,13kW,95kW,29kW,69kW,2284.401092529297kW,,156kW,55kW,0kW,64kW,21kW,27kW,72kW,3kW,77kW,88kW,29kW,3kW,16kW,173kW,179kW,0.06181873753666878kW,5kW,3kW,0kW,158kW,,,57kW,241kW,19kW,179kW,34kW,0kW,,358kW,62kW,117kW,121kW,80kW,,258kW,23kW,,3kW,1kW,2kW,8kW,0kW,12kW,8kW,14kW,178kW,0kW,,0kW,488kW,153kW,59kW,0kW,52kW,0kW,,186kW,48kW,,25kW,,82kW,415kW,,97.83889770507812kW,5kW,,5kW,462kW,10kW,31kW,75kW,26kW,115kW,111kW,3kW,,154kW,2kW,11421.926389310509kW,12860.81884765625kW,165kW,60kW,,6kW,14kW,26kW,877kW,,,2kW,16kW,41kW,156kW,9kW,275kW,8kW,104kW,15kW
2016-09-01T15:00:00+10:00 Sydney,142kW,21kW,56kW,,180kW,175kW,10kW,8kW,86kW,14kW,68kW,5kW,10kW,,16kW,0kW,408kW,5kW,10kW,3kW,15kW,216kW,0kW,141kW,61kW,,53kW,11kW,0kW,,,,57kW,0kW,34kW,34kW,1kW,159kW,,7kW,112kW,175kW,64kW,0kW,101kW,0kW,,11kW,103kW,28kW,65kW,2223.1251068115234kW,,70kW,52kW,0kW,61kW,22kW,25kW,54kW,4kW,76kW,95kW,29kW,4kW,15kW,168kW,167kW,0.05983322113752365kW,9kW,3kW,0kW,148kW,,,114kW,232kW,17kW,185kW,28kW,0kW,,251kW,64kW,105kW,121kW,77kW,,258kW,15kW,,3kW,1kW,2kW,8kW,0kW,12kW,8kW,12kW,201kW,0kW,,0kW,510kW,138kW,65kW,0kW,58kW,0kW,,186kW,42kW,,6kW,,73kW,404kW,,343.5879096984863kW,5kW,,5kW,472kW,10kW,29kW,77kW,24kW,113kW,111kW,3kW,,161kW,4kW,11311.428815688938kW,12852.948120117188kW,231kW,58kW,,6kW,14kW,20kW,878kW,,,2kW,16kW,47kW,155kW,8kW,273kW,5kW,139kW,16kW
2016-09-01T16:00:00+10:00 Sydney,218kW,24kW,48kW,,183kW,175kW,11kW,8kW,82kW,14kW,49kW,5kW,7kW,,20kW,0kW,408kW,6kW,10kW,3kW,15kW,181kW,5kW,146kW,64kW,,46kW,9kW,0kW,,,,55kW,0kW,30kW,30kW,3kW,166kW,,7kW,140kW,181kW,64kW,0kW,111kW,0kW,,11kW,101kW,27kW,60kW,2189.1260986328125kW,,68kW,54kW,0kW,60kW,24kW,30kW,50kW,5kW,69kW,88kW,28kW,4kW,17kW,164kW,166kW,0.0605127215385437kW,7kW,19kW,0kW,144kW,,,116kW,242kW,15kW,165kW,33kW,0kW,,248kW,64kW,44kW,110kW,82kW,,258kW,19kW,,3kW,1kW,2kW,8kW,0kW,22kW,0kW,15kW,202kW,0kW,,0kW,504kW,131kW,59kW,0kW,58kW,0kW,,169kW,42kW,,30kW,,94kW,414kW,,296.4188003540039kW,5kW,,5kW,472kW,6kW,29kW,77kW,24kW,112kW,109kW,5kW,,153kW,2kW,11164.063993507996kW,12382.763427734375kW,164kW,51kW,,5kW,24kW,14kW,838kW,,,2kW,16kW,43kW,162kW,6kW,271kW,5kW,128kW,19kW
2016-09-01T17:00:00+10:00 Sydney,168kW,29kW,46kW,,161kW,172kW,16kW,8kW,82kW,11kW,47kW,5kW,7kW,,8kW,0kW,359kW,4kW,12kW,3kW,15kW,190kW,1kW,116kW,49kW,,41kW,8kW,0kW,,,,51kW,0kW,23kW,23kW,1kW,176kW,,19kW,140kW,214kW,56kW,0kW,122kW,0kW,,10kW,91kW,26kW,36kW,2163.490005493164kW,,59kW,70kW,0kW,67kW,23kW,24kW,47kW,4kW,69kW,80kW,29kW,9kW,29kW,160kW,171kW,0.06018450856208801kW,4kW,3kW,0kW,178kW,,,96kW,234kW,8kW,165kW,32kW,0kW,,205kW,56kW,51kW,108kW,76kW,,258kW,14kW,,4kW,1kW,0kW,3kW,0kW,30kW,0kW,10kW,145kW,0kW,,0kW,443kW,106kW,63kW,0kW,49kW,0kW,,182kW,39kW,,6kW,,105kW,403kW,,263.7575054168701kW,13kW,,2kW,467kW,6kW,32kW,69kW,22kW,111kW,116kW,5kW,,149kW,2kW,10728.31070010364kW,11754.381591796875kW,175kW,54kW,,3kW,21kW,6kW,798kW,,,3kW,16kW,36kW,157kW,5kW,256kW,5kW,131kW,7kW
2016-09-01T18:00:00+10:00 Sydney,176kW,32kW,42kW,,163kW,155kW,20kW,9kW,76kW,5kW,47kW,2kW,7kW,,7kW,0kW,338kW,10kW,5kW,3kW,28kW,190kW,5kW,118kW,24kW,,47kW,7kW,0kW,,,,47kW,0kW,20kW,20kW,2kW,144kW,,17kW,140kW,246kW,56kW,0kW,148kW,0kW,,2kW,85kW,25kW,70kW,2149.356399536133kW,,47kW,84kW,0kW,62kW,9kW,27kW,46kW,4kW,44kW,83kW,29kW,9kW,19kW,135kW,137kW,0.056058380752801895kW,5kW,2kW,0kW,98kW,,,91kW,222kW,8kW,141kW,34kW,0kW,,169kW,56kW,51kW,100kW,64kW,,258kW,9kW,,4kW,1kW,0kW,1kW,0kW,22kW,0kW,8kW,149kW,0kW,,0kW,358kW,90kW,56kW,0kW,43kW,0kW,,174kW,31kW,,6kW,,95kW,368kW,,169.16899871826172kW,1kW,,0kW,446kW,6kW,26kW,69kW,15kW,100kW,121kW,3kW,,129kW,3kW,10161.205642418936kW,11137.815185546875kW,250kW,52kW,,1kW,9kW,9kW,738kW,,,1kW,19kW,19kW,137kW,6kW,230kW,4kW,127kW,6kW
2016-09-01T19:00:00+10:00 Sydney,174kW,32kW,42kW,,165kW,155kW,22kW,9kW,80kW,5kW,42kW,2kW,2kW,,8kW,0kW,304kW,10kW,4kW,3kW,29kW,124kW,9kW,99kW,30kW,,29kW,5kW,0kW,,,,31kW,0kW,18kW,18kW,2kW,120kW,,21kW,155kW,272kW,31kW,0kW,163kW,0kW,,2kW,82kW,26kW,70kW,2177.352005004883kW,,44kW,109kW,0kW,65kW,9kW,28kW,44kW,4kW,42kW,79kW,31kW,6kW,17kW,102kW,135kW,0.055566683411598206kW,3kW,1kW,0kW,86kW,,,96kW,214kW,5kW,142kW,31kW,0kW,,164kW,31kW,46kW,94kW,56kW,,258kW,9kW,,2kW,1kW,0kW,1kW,0kW,22kW,6kW,8kW,102kW,0kW,,0kW,401kW,58kW,56kW,0kW,37kW,0kW,,154kW,29kW,,4kW,,69kW,364kW,,168.39660263061523kW,1kW,,0kW,434kW,9kW,26kW,64kW,13kW,85kW,119kW,1kW,,127kW,3kW,9640.144384332001kW,10423.874084472656kW,172kW,53kW,,1kW,9kW,6kW,686kW,,,1kW,19kW,18kW,132kW,3kW,209kW,0kW,128kW,5kW
2016-09-01T20:00:00+10:00 Sydney,158kW,33kW,38kW,,159kW,144kW,28kW,9kW,76kW,5kW,31kW,6kW,1kW,,6kW,0kW,288kW,6kW,4kW,2kW,29kW,106kW,9kW,78kW,28kW,,36kW,5kW,0kW,,,,23kW,0kW,21kW,21kW,1kW,72kW,,20kW,172kW,238kW,29kW,0kW,160kW,0kW,,2kW,83kW,29kW,59kW,2155.6100006103516kW,,44kW,134kW,0kW,56kW,9kW,21kW,45kW,6kW,39kW,41kW,31kW,7kW,21kW,100kW,127kW,0.054785385727882385kW,2kW,2kW,0kW,86kW,,,88kW,187kW,7kW,126kW,17kW,0kW,,163kW,29kW,35kW,90kW,55kW,,258kW,10kW,,2kW,1kW,0kW,1kW,0kW,22kW,6kW,8kW,102kW,0kW,,0kW,383kW,49kW,43kW,0kW,43kW,0kW,,141kW,32kW,,8kW,,53kW,358kW,,167.3736057281494kW,1kW,,0kW,434kW,12kW,27kW,64kW,11kW,82kW,122kW,0kW,,25kW,3kW,9181.709872582927kW,10168.626342773438kW,168kW,53kW,,1kW,9kW,11kW,653kW,,,1kW,19kW,16kW,134kW,2kW,199kW,0kW,108kW,5kW
2016-09-01T21:00:00+10:00 Sydney,194kW,39kW,33kW,,144kW,149kW,24kW,9kW,68kW,5kW,23kW,2kW,1kW,,5kW,0kW,279kW,13kW,2kW,1kW,18kW,102kW,1kW,36kW,31kW,,39kW,4kW,0kW,,,,22kW,0kW,16kW,16kW,1kW,58kW,,20kW,172kW,237kW,30kW,0kW,162kW,0kW,,2kW,76kW,25kW,71kW,2135.688995361328kW,,37kW,120kW,0kW,55kW,9kW,23kW,47kW,6kW,47kW,34kW,33kW,6kW,17kW,97kW,104kW,1.650882601737976kW,2kW,1kW,0kW,84kW,,,103kW,163kW,5kW,122kW,14kW,0kW,,161kW,30kW,34kW,91kW,62kW,,258kW,8kW,,2kW,1kW,0kW,1kW,0kW,23kW,0kW,8kW,66kW,0kW,,0kW,353kW,45kW,27kW,0kW,31kW,0kW,,161kW,27kW,,8kW,,61kW,376kW,,170.32439804077148kW,1kW,,0kW,364kW,1kW,21kW,59kW,11kW,82kW,122kW,0kW,,20kW,3kW,8875.403731821105kW,9874.057739257812kW,164kW,45kW,,1kW,12kW,12kW,664kW,,,1kW,19kW,16kW,124kW,3kW,196kW,0kW,84kW,5kW
2016-09-01T22:00:00+10:00 Sydney,181kW,26kW,31kW,,160kW,142kW,26kW,9kW,20kW,1kW,179kW,2kW,1kW,,4kW,0kW,270kW,8kW,2kW,1kW,20kW,94kW,5kW,23kW,20kW,,37kW,5kW,0kW,,,,19kW,0kW,10kW,10kW,4kW,59kW,,20kW,180kW,218kW,29kW,4kW,162kW,0kW,,2kW,81kW,24kW,69kW,2192.3907012939453kW,,36kW,109kW,0kW,54kW,7kW,18kW,43kW,2kW,51kW,32kW,32kW,9kW,17kW,96kW,119kW,1.6389567852020264kW,2kW,1kW,0kW,86kW,,,103kW,163kW,4kW,123kW,11kW,0kW,,161kW,29kW,19kW,92kW,54kW,,258kW,11kW,,2kW,1kW,4kW,1kW,0kW,22kW,0kW,8kW,87kW,0kW,,0kW,428kW,61kW,27kW,0kW,23kW,0kW,,145kW,20kW,,5kW,,67kW,376kW,,221.89810180664062kW,1kW,,0kW,309kW,5kW,18kW,54kW,11kW,73kW,119kW,0kW,,36kW,3kW,8806.018499970436kW,9831.554626464844kW,150kW,46kW,,1kW,11kW,6kW,645kW,,,1kW,19kW,20kW,122kW,6kW,192kW,0kW,77kW,4kW
2016-09-01T23:00:00+10:00 Sydney,150kW,26kW,30kW,,144kW,153kW,26kW,9kW,19kW,1kW,161kW,2kW,1kW,,6kW,0kW,272kW,5kW,2kW,1kW,18kW,97kW,1kW,21kW,21kW,,34kW,5kW,0kW,,,,27kW,0kW,10kW,10kW,4kW,43kW,,20kW,173kW,194kW,30kW,0kW,174kW,0kW,,2kW,75kW,25kW,65kW,2170.5205993652344kW,,33kW,105kW,0kW,55kW,6kW,18kW,39kW,3kW,35kW,33kW,33kW,5kW,6kW,94kW,119kW,1.6338984966278076kW,4kW,1kW,0kW,82kW,,,99kW,157kW,7kW,110kW,15kW,0kW,,162kW,30kW,20kW,97kW,33kW,,258kW,9kW,,2kW,1kW,0kW,1kW,0kW,23kW,0kW,5kW,54kW,0kW,,0kW,422kW,52kW,22kW,0kW,22kW,0kW,,137kW,21kW,,3kW,,52kW,396kW,,223.85829544067383kW,1kW,,4kW,298kW,5kW,17kW,52kW,12kW,78kW,111kW,0kW,,34kW,3kW,8745.985356986523kW,9735.705688476562kW,152kW,44kW,,1kW,9kW,6kW,682kW,,,4kW,19kW,16kW,117kW,3kW,172kW,0kW,77kW,6kW
