Timestamp,B001 B1 V Power,B040A B40A V Power,B007 B7 V Power,B142 B142 V Power,B026 B26 V Power,B138 B138 V Power,B126 B126 V Power,B001A B1A V Power,B005 B5 V Power,B075G B75G V Power,B110 B110 V Power,B001B B1B V Power,B072 B72 V Power,Test Building Test Building V Power,B053 B53 V Power,B090 B90 V Power,B131 B131 V Power,B049C B49C V Power,B069 B69 V Power,B068 B68 V Power,B099 B99 V Power,B020 B20 V Power,B088 B88 V Power,B095 B95 V Power,B073 B73 V Power,B064 B64 V Power,B133 B133 V Power,B127 B127 V Power,B075TB B75T2 V Power,B088TH B88TH V Power,B046J B46J V Power,B046F B46F V Power,B013 B13 V Power,B064A B64A V Power,B018 B18 V Power,B018 B18 V Power,B067B B67B V Power,B026C B26C V Power,B047 B47 V Power,B078 B78 V Power,B030 B30 V Power,B052 B52 V Power,B120 B120 V Power,B128 B128 V Power,B050T B50T1T2 V Power,B075TA B75T1 V Power,B075 B75 V Power,B077 B77 V Power,B044 B44 V Power,B029 B29 V Power,B106 B106 V Power,B143 B143 V Power,B003L B3L V Power,B130 B130 V Power,B118 B118 V Power,B046H B46H V Power,B122 B122 V Power,B141 B141 V Power,B012 B12 V Power,B035A B35A V Power,B065 B65 V Power,B048 B48 V Power,B014 B14 V Power,B040 B40 V Power,B077A B77A V Power,B019A B19A V Power,B108 B108 V Power,B038  B38B39 V Power,B089 B89 V Power,B075E B75E V Power,B067C B67C V Power,B066 B66 V Power,B124 B124 V Power,B049A B49A V Power,B013T B13T1 V Power,B016 B16 V Power,B046C B46C V Power,B071T B71T V Power,B009 B9 V Power,B037 B37 V Power,B042 B42 V Power,B046N B46N V Power,B117 B117 V Power,B026A B26A V Power,B035 B35 V Power,B024 B24 V Power,B1A B1A V Power,B046S B46S V Power,B046 B46 V Power,B064B B64B V Power,B079A B79A V Power,B067A B67A V Power,B080 B80 V Power,B081 B81 V Power,B093 B93 V Power,B115 B115 V Power,B076 B76 V Power,B075A B75A V Power,B063 B63 V Power,B132A B132A V Power,B013B B13B V Power,B113 B113 V Power,B082 B82 V Power,B061 B61 V Power,B010 B10 V Power,B017 B17 V Power,B116 B116 V Power,B025A B25A V Power,B105D B105D V Power,B046R B46R V Power,B032 B32 V Power,B027 B27 V Power,B132 B132 V Power,B042A B42A V Power,B054 B54 V Power,B050 B50 V Power,B056 B56 V Power,B188 B188 V Power,B135 B135 V Power,B006 B6 V Power,B045A B45A V Power,B067 B67 V Power,B137 B137 V Power,B071 B71 V Power,B059 B59 V Power,B022 B22 V Power,B008 B8 V Power,B043 B43 V Power,B049 B49 V Power,B028 B28 V Power,B046Q B46Q V Power,B002 B2 V Power,B056A B56A V Power,Acton Campus_Metering V V Power,Acton Campus_Metering V Power,B015 B15 V Power,B019 B19 V Power,Test Test V Power,B070 B70 V Power,B075F B75F V Power,B010T B10T1 V Power,B058 B58 V Power,B031 B31 V Power,B045 B45 V Power,B063T B63T1 V Power,B109 B109 V Power,B062 B62 V Power,B136 B136 V Power,B101 B101 V Power,B134 B134 V Power,B075D B75D V Power,B051 B51 V Power,B003H B3H V Power
2016-02-07T09:00:00+11:00 Sydney,10kW,14kW,24kW,,111kW,123kW,8kW,5kW,0kW,0kW,16kW,2kW,1kW,,2kW,0kW,262kW,0kW,2kW,1kW,13kW,82kW,0kW,83kW,35kW,,41kW,3kW,0kW,0kW,,,11kW,1kW,13kW,13kW,0kW,44kW,,7kW,41kW,87kW,15kW,0kW,33kW,0kW,,1kW,74kW,1kW,28kW,2193.1753997802734kW,,42kW,0kW,0kW,12kW,65529kW,0kW,0kW,1kW,21kW,24kW,45kW,0kW,2kW,67kW,70kW,0.056035079061985016kW,0kW,1kW,0kW,46kW,,,17kW,0kW,0kW,71kW,5kW,0kW,,239kW,16kW,69kW,35kW,,,570kW,7kW,,1kW,1kW,0kW,1kW,55kW,8kW,0kW,4kW,49kW,0kW,,0kW,325kW,32kW,22kW,48kW,20kW,0kW,,0kW,14kW,,2kW,,0kW,377kW,,83.44250106811523kW,1kW,,0kW,302kW,1kW,20kW,21kW,13kW,30kW,113kW,0kW,,43kW,2kW,72583.25471736863kW,8353.831100463867kW,113kW,29kW,,0kW,0kW,3kW,568kW,,,0kW,14kW,8kW,76kW,3kW,374kW,0kW,76kW,0kW
2016-02-07T10:00:00+11:00 Sydney,10kW,15kW,21kW,,109kW,125kW,5kW,10kW,0kW,0kW,14kW,1kW,1kW,,2kW,0kW,255kW,4kW,2kW,1kW,13kW,99kW,0kW,87kW,27kW,,41kW,3kW,0kW,0kW,,,14kW,1kW,9kW,9kW,0kW,42kW,,13kW,34kW,119kW,16kW,0kW,32kW,0kW,,1kW,54kW,2kW,23kW,2167.077896118164kW,,24kW,0kW,0kW,13kW,65522kW,0kW,0kW,1kW,21kW,26kW,47kW,0kW,2kW,93kW,63kW,0.05820053443312645kW,0kW,1kW,0kW,48kW,,,18kW,0kW,0kW,71kW,6kW,0kW,,261kW,16kW,89kW,38kW,,,600kW,9kW,,0kW,1kW,4kW,1kW,55kW,7kW,0kW,4kW,48kW,0kW,,0kW,308kW,36kW,14kW,57kW,20kW,0kW,,0kW,14kW,,2kW,,0kW,374kW,,84.88780212402344kW,3kW,,0kW,321kW,1kW,19kW,37kW,13kW,29kW,134kW,0kW,,36kW,2kW,72747.89739784412kW,8608.650444030762kW,122kW,46kW,,1kW,0kW,3kW,600kW,,,0kW,14kW,9kW,83kW,3kW,351kW,0kW,78kW,0kW
2016-02-07T11:00:00+11:00 Sydney,11kW,15kW,25kW,,122kW,126kW,13kW,6kW,0kW,0kW,14kW,1kW,1kW,,2kW,0kW,263kW,0kW,2kW,1kW,13kW,98kW,0kW,84kW,24kW,,44kW,3kW,0kW,0kW,,,13kW,1kW,10kW,10kW,0kW,59kW,,12kW,28kW,101kW,16kW,0kW,39kW,0kW,,1kW,76kW,1kW,23kW,2410.4387969970703kW,,68kW,0kW,0kW,12kW,65519kW,0kW,0kW,1kW,22kW,26kW,80kW,0kW,2kW,95kW,64kW,0.05785999447107315kW,0kW,1kW,0kW,48kW,,,15kW,0kW,0kW,73kW,6kW,0kW,,310kW,16kW,86kW,43kW,,,651kW,11kW,,1kW,1kW,0kW,1kW,60kW,8kW,0kW,4kW,46kW,0kW,,0kW,326kW,35kW,21kW,61kW,24kW,0kW,,0kW,14kW,,12kW,,0kW,360kW,,89.74129867553711kW,4kW,,0kW,310kW,1kW,16kW,27kW,13kW,30kW,113kW,0kW,,33kW,2kW,73096.36462717131kW,8901.478099822998kW,122kW,50kW,,1kW,0kW,4kW,614kW,,,0kW,14kW,13kW,82kW,3kW,377kW,0kW,80kW,0kW
2016-02-07T12:00:00+11:00 Sydney,10kW,17kW,21kW,,123kW,122kW,11kW,7kW,0kW,0kW,16kW,1kW,2kW,,2kW,0kW,283kW,0kW,2kW,1kW,13kW,98kW,0kW,89kW,43kW,,43kW,3kW,0kW,0kW,,,15kW,0kW,9kW,9kW,0kW,88kW,,11kW,39kW,117kW,18kW,0kW,39kW,0kW,,1kW,64kW,1kW,23kW,2396.8240966796875kW,,70kW,0kW,0kW,12kW,65518kW,0kW,0kW,1kW,21kW,25kW,50kW,0kW,2kW,157kW,66kW,0.05672596022486687kW,0kW,1kW,0kW,44kW,,,18kW,0kW,0kW,75kW,7kW,0kW,,302kW,16kW,96kW,43kW,,,674kW,5kW,,1kW,1kW,0kW,1kW,55kW,8kW,0kW,4kW,95kW,0kW,,0kW,340kW,36kW,20kW,46kW,22kW,0kW,,0kW,15kW,,28kW,,0kW,359kW,,89.92020034790039kW,5kW,,0kW,291kW,1kW,21kW,44kW,12kW,31kW,120kW,0kW,,36kW,2kW,73332.86295961402kW,9198.879737854004kW,118kW,44kW,,1kW,0kW,4kW,659kW,,,0kW,14kW,9kW,80kW,3kW,391kW,0kW,58kW,0kW
2016-02-07T13:00:00+11:00 Sydney,10kW,18kW,22kW,,149kW,127kW,8kW,9kW,0kW,0kW,17kW,1kW,1kW,,2kW,0kW,262kW,0kW,2kW,1kW,13kW,106kW,0kW,86kW,24kW,,44kW,3kW,0kW,0kW,,,16kW,0kW,8kW,8kW,0kW,100kW,,14kW,32kW,138kW,17kW,0kW,43kW,0kW,,5kW,73kW,1kW,22kW,2388.0079956054688kW,,120kW,0kW,0kW,12kW,65515kW,0kW,0kW,1kW,24kW,28kW,69kW,0kW,6kW,127kW,65kW,0.05627022311091423kW,0kW,1kW,0kW,44kW,,,17kW,0kW,0kW,75kW,10kW,0kW,,351kW,16kW,92kW,43kW,,,679kW,9kW,,1kW,3kW,0kW,1kW,56kW,7kW,0kW,4kW,49kW,0kW,,0kW,334kW,38kW,21kW,64kW,22kW,0kW,,0kW,18kW,,13kW,,0kW,376kW,,587.2205848693848kW,14kW,,0kW,283kW,8kW,19kW,41kW,11kW,32kW,104kW,0kW,,37kW,2kW,73845.51782398485kW,9656.529289245605kW,115kW,34kW,,1kW,0kW,5kW,740kW,,,0kW,14kW,10kW,81kW,3kW,404kW,0kW,70kW,0kW
2016-02-07T14:00:00+11:00 Sydney,10kW,17kW,23kW,,159kW,127kW,10kW,5kW,0kW,0kW,16kW,1kW,1kW,,2kW,0kW,262kW,0kW,2kW,1kW,15kW,113kW,0kW,88kW,33kW,,46kW,3kW,0kW,0kW,,,13kW,1kW,14kW,14kW,0kW,102kW,,10kW,36kW,115kW,19kW,0kW,33kW,0kW,,1kW,71kW,2kW,22kW,2371.2442016601562kW,,121kW,0kW,0kW,12kW,65515kW,0kW,0kW,1kW,21kW,34kW,48kW,0kW,3kW,87kW,65kW,0.05662459507584572kW,0kW,1kW,0kW,44kW,,,20kW,0kW,0kW,77kW,11kW,0kW,,407kW,16kW,72kW,51kW,,,652kW,11kW,,0kW,3kW,0kW,1kW,55kW,7kW,0kW,4kW,50kW,0kW,,0kW,336kW,35kW,22kW,56kW,53kW,0kW,,0kW,19kW,,7kW,,0kW,390kW,,497.0434989929199kW,4kW,,0kW,292kW,1kW,23kW,28kW,12kW,32kW,113kW,0kW,,32kW,2kW,73632.7358127553kW,9765.132877349854kW,122kW,35kW,,1kW,0kW,3kW,689kW,,,0kW,14kW,9kW,81kW,3kW,403kW,0kW,54kW,0kW
2016-02-07T15:00:00+11:00 Sydney,10kW,20kW,24kW,,115kW,128kW,7kW,9kW,0kW,0kW,18kW,1kW,5kW,,2kW,0kW,272kW,4kW,2kW,1kW,13kW,110kW,0kW,71kW,29kW,,57kW,7kW,0kW,0kW,,,15kW,1kW,9kW,9kW,0kW,89kW,,9kW,36kW,93kW,33kW,0kW,45kW,0kW,,1kW,63kW,1kW,27kW,2327.0086059570312kW,,73kW,0kW,0kW,13kW,65517kW,0kW,0kW,1kW,21kW,33kW,38kW,0kW,2kW,135kW,69kW,0.06016194075345993kW,0kW,1kW,0kW,54kW,,,22kW,0kW,0kW,74kW,10kW,0kW,,351kW,16kW,96kW,40kW,,,668kW,16kW,,0kW,1kW,1kW,1kW,56kW,8kW,0kW,4kW,45kW,0kW,,0kW,370kW,35kW,28kW,69kW,29kW,0kW,,0kW,14kW,,38kW,,0kW,371kW,,533.0935897827148kW,4kW,,0kW,289kW,1kW,15kW,41kW,12kW,33kW,123kW,0kW,,33kW,2kW,73619.2416822277kW,9919.027648925781kW,117kW,33kW,,1kW,0kW,5kW,775kW,,,0kW,14kW,9kW,83kW,3kW,369kW,0kW,54kW,0kW
2016-02-07T16:00:00+11:00 Sydney,10kW,17kW,23kW,,115kW,131kW,6kW,5kW,0kW,0kW,17kW,1kW,1kW,,2kW,0kW,276kW,0kW,2kW,1kW,13kW,105kW,0kW,85kW,18kW,,42kW,3kW,0kW,0kW,,,14kW,0kW,8kW,8kW,3kW,89kW,,11kW,38kW,104kW,38kW,0kW,41kW,0kW,,1kW,69kW,1kW,26kW,2380.9781951904297kW,,35kW,0kW,0kW,13kW,65523kW,0kW,0kW,1kW,20kW,34kW,100kW,0kW,2kW,127kW,74kW,0.05858452990651131kW,0kW,1kW,0kW,50kW,,,23kW,0kW,0kW,74kW,8kW,0kW,,377kW,16kW,92kW,34kW,,,696kW,11kW,,1kW,3kW,0kW,1kW,55kW,7kW,0kW,5kW,51kW,0kW,,0kW,343kW,37kW,19kW,61kW,27kW,0kW,,0kW,15kW,,23kW,,0kW,392kW,,566.1196937561035kW,1kW,,0kW,295kW,5kW,28kW,30kW,12kW,33kW,133kW,0kW,,33kW,2kW,73763.46559063531kW,10149.577964782715kW,119kW,35kW,,1kW,0kW,4kW,754kW,,,0kW,14kW,13kW,84kW,3kW,398kW,0kW,69kW,0kW
2016-02-07T17:00:00+11:00 Sydney,10kW,21kW,26kW,,118kW,125kW,5kW,9kW,0kW,0kW,20kW,2kW,1kW,,2kW,0kW,256kW,4kW,6kW,1kW,13kW,133kW,0kW,92kW,21kW,,41kW,7kW,0kW,0kW,,,13kW,1kW,16kW,16kW,0kW,98kW,,11kW,44kW,114kW,30kW,0kW,46kW,0kW,,1kW,70kW,1kW,21kW,2404.709503173828kW,,46kW,0kW,0kW,13kW,65527kW,0kW,0kW,1kW,26kW,29kW,99kW,0kW,6kW,90kW,65kW,0.05985927954316139kW,0kW,1kW,0kW,50kW,,,17kW,0kW,0kW,77kW,10kW,0kW,,374kW,15kW,103kW,49kW,,,681kW,13kW,,1kW,3kW,0kW,1kW,55kW,7kW,0kW,4kW,76kW,0kW,,0kW,434kW,41kW,15kW,64kW,59kW,0kW,,0kW,14kW,,15kW,,0kW,391.9656357388316kW,,587.5529022216797kW,3kW,,0kW,329kW,5kW,17kW,41kW,12kW,32kW,151kW,0kW,,33kW,2kW,74055.17923783023kW,10131.842674255371kW,115kW,41kW,,0kW,0kW,5kW,758.9688581314879kW,,,0kW,14kW,9kW,93kW,7kW,400kW,0kW,84kW,0kW
2016-02-07T18:00:00+11:00 Sydney,10kW,22kW,21kW,,139kW,120kW,17kW,7kW,0kW,0kW,16kW,1kW,1kW,,2kW,0kW,269kW,4kW,2kW,1kW,13kW,126kW,0kW,101kW,23kW,,44kW,3kW,0kW,0kW,,,14kW,1kW,16kW,16kW,0kW,51kW,,10kW,46kW,155kW,38kW,0kW,57kW,0kW,,1kW,60kW,1kW,27kW,2416.525894165039kW,,125kW,0kW,0kW,12kW,65534kW,0kW,0kW,1kW,25kW,29kW,53kW,0kW,2kW,128kW,72kW,0.055897172540426254kW,0kW,1kW,0kW,48kW,,,16kW,0kW,0kW,79kW,5kW,0kW,,379kW,15kW,92kW,42kW,,,626kW,14kW,,1kW,3kW,0kW,1kW,55kW,8kW,0kW,4kW,51kW,0kW,,0kW,376kW,28kW,24kW,63kW,61kW,0kW,,0kW,14kW,,5kW,,0kW,374kW,,576.4991264343262kW,1kW,,0kW,273kW,4kW,21kW,25kW,14kW,32kW,139kW,0kW,,29kW,2kW,73884.0491026027kW,10126.202766418457kW,114kW,33kW,,1kW,0kW,3kW,782kW,,,0kW,14kW,12kW,92kW,4kW,397kW,0kW,58kW,0kW
2016-02-07T19:00:00+11:00 Sydney,10kW,21kW,21kW,,118kW,122kW,8kW,9kW,0kW,0kW,16kW,2kW,1kW,,2kW,0kW,242kW,1kW,2kW,1kW,13kW,114kW,0kW,70kW,18kW,,41kW,8kW,0kW,0kW,,,13kW,1kW,6kW,6kW,0kW,46kW,,14kW,51kW,132kW,24kW,0kW,42kW,0kW,,1kW,62kW,1kW,25kW,2427.039306640625kW,,123kW,0kW,0kW,12kW,4kW,0kW,0kW,1kW,22kW,32kW,42kW,1kW,2kW,101kW,70kW,0.05949636176228523kW,0kW,1kW,0kW,54kW,,,20kW,0kW,0kW,111kW,6kW,0kW,,349kW,15kW,90kW,38kW,,,551kW,10kW,,1kW,1kW,0kW,1kW,55kW,8kW,0kW,4kW,45kW,0kW,,0kW,375kW,31kW,35kW,59kW,24kW,0kW,,0kW,14kW,,5kW,,0kW,377kW,,491.34921646118164kW,1kW,,0kW,261kW,4kW,25kW,23kW,10kW,33kW,130kW,0kW,,33kW,2kW,7953.58401863277kW,9611.111595153809kW,112kW,38kW,,0kW,0kW,5kW,755kW,,,0kW,14kW,12kW,78kW,3kW,375kW,0kW,52kW,0kW
2016-02-07T20:00:00+11:00 Sydney,10kW,20kW,21kW,,129kW,122kW,17kW,9kW,0kW,0kW,14kW,1kW,3kW,,2kW,0kW,256kW,4kW,2kW,1kW,13kW,106kW,0kW,55kW,22kW,,41kW,8kW,0kW,0kW,,,12kW,1kW,5kW,5kW,0kW,48kW,,13kW,41kW,119kW,36kW,0kW,54kW,0kW,,1kW,56kW,1kW,29kW,2405.7657012939453kW,,44kW,0kW,0kW,16kW,6kW,0kW,0kW,1kW,22kW,35kW,40kW,1kW,2kW,140kW,76kW,0.059703949838876724kW,0kW,1kW,0kW,52kW,,,27kW,0kW,0kW,77kW,5kW,0kW,,337kW,12kW,91kW,39kW,,,502kW,15kW,,0kW,1kW,0kW,1kW,53kW,8kW,0kW,4kW,49kW,0kW,,0kW,363kW,30kW,31kW,63kW,57kW,0kW,,0kW,14kW,,26kW,,0kW,390kW,,491.49110412597656kW,3kW,,0kW,258kW,1kW,16kW,23kW,10kW,33kW,140kW,0kW,,33kW,2kW,7644.027654709294kW,9228.889484405518kW,110kW,29kW,,1kW,0kW,4kW,604kW,,,1kW,16kW,10kW,79kW,3kW,376kW,0kW,51kW,0kW
2016-02-07T21:00:00+11:00 Sydney,10kW,24kW,24kW,,146kW,121kW,13kW,11kW,0kW,0kW,13kW,1kW,1kW,,2kW,0kW,253kW,2kW,2kW,1kW,27kW,118kW,0kW,46kW,22kW,,40kW,7kW,0kW,0kW,,,13kW,1kW,5kW,5kW,1kW,33kW,,12kW,54kW,98kW,21kW,0kW,46kW,0kW,,1kW,65kW,2kW,29kW,2385.966293334961kW,,123kW,0kW,0kW,15kW,5kW,0kW,0kW,1kW,22kW,29kW,32kW,0kW,2kW,93kW,79kW,0.05935642495751381kW,0kW,1kW,0kW,48kW,,,16kW,0kW,0kW,105kW,8kW,0kW,,361kW,15kW,75kW,36kW,,,438kW,8kW,,0kW,1kW,0kW,1kW,55kW,8kW,0kW,4kW,51kW,0kW,,0kW,371kW,34kW,36kW,71kW,26kW,0kW,,0kW,14kW,,17kW,,0kW,365kW,,467.1021041870117kW,1kW,,0kW,303kW,5kW,16kW,20kW,10kW,32kW,144kW,0kW,,33kW,2kW,7697.804265999515kW,9336.704551696777kW,111kW,8kW,,1kW,0kW,3kW,665.0878787878787kW,,,0kW,19kW,10kW,95kW,3kW,371kW,0kW,58kW,0kW
2016-02-07T22:00:00+11:00 Sydney,10kW,19kW,24kW,,125kW,120kW,11kW,11kW,0kW,0kW,14kW,1kW,1kW,,2kW,0kW,244kW,1kW,3kW,1kW,18kW,104kW,0kW,41kW,19kW,,40kW,7kW,0kW,0kW,,,14kW,1kW,13kW,13kW,1kW,38kW,,10kW,43kW,114kW,22kW,0kW,46kW,0kW,,1kW,76kW,2kW,30kW,2467.939895629883kW,,27kW,0kW,0kW,15kW,6kW,0kW,0kW,1kW,21kW,32kW,34kW,1kW,2kW,137kW,75kW,0.056963782757520676kW,0kW,1kW,0kW,54kW,,,18kW,0kW,0kW,72kW,8kW,0kW,,321kW,15kW,95kW,32kW,,,406kW,14kW,,0kW,3kW,0kW,1kW,55kW,8kW,0kW,4kW,47kW,0kW,,0kW,340kW,36kW,35kW,60kW,18kW,0kW,,0kW,15kW,,17kW,,0kW,364kW,,509.3302001953125kW,2kW,,0kW,261kW,1kW,18kW,20kW,10kW,31kW,133kW,0kW,,29kW,3kW,7464.143004742657kW,9009.65459060669kW,121kW,8kW,,1kW,0kW,3kW,591kW,,,0kW,18kW,10kW,83kW,3kW,355kW,0kW,52kW,0kW
2016-02-07T23:00:00+11:00 Sydney,10kW,20kW,22kW,,146kW,122kW,11kW,7kW,0kW,0kW,14kW,1kW,2kW,,2kW,0kW,249kW,4kW,2kW,1kW,20kW,89kW,0kW,37kW,22kW,,39kW,7kW,0kW,0kW,,,14kW,1kW,8kW,8kW,3kW,35kW,,11kW,46kW,103kW,22kW,0kW,40kW,0kW,,1kW,67kW,2kW,19kW,2466.103500366211kW,,120kW,0kW,0kW,13kW,6kW,0kW,0kW,1kW,24kW,28kW,32kW,1kW,2kW,92kW,79kW,0.05786872282624245kW,0kW,1kW,0kW,54kW,,,18kW,0kW,0kW,74kW,8kW,0kW,,321kW,14kW,71kW,26kW,,,414kW,6kW,,0kW,1kW,0kW,1kW,54kW,8kW,0kW,5kW,44kW,0kW,,0kW,338kW,38kW,34kW,46kW,18kW,0kW,,0kW,14kW,,16kW,,0kW,377kW,,475.5654945373535kW,2kW,,0kW,261kW,1kW,25kW,19kW,9kW,34kW,128kW,0kW,,41kW,2kW,7445.316932560876kW,8821.266998291016kW,118kW,9kW,,1kW,0kW,3kW,577kW,,,0kW,19kW,10kW,87kW,3kW,363kW,0kW,48kW,0kW
